source,target,generated,success,delays
0,1,65,64,106.5625
0,2,64,61,162.29508196721312
0,3,63,60,335.0
0,4,68,65,384.61538461538464
0,5,77,71,298.59154929577466
0,6,56,53,443.77358490566036
0,7,56,51,630.9803921568628
0,8,53,47,905.9574468085107
0,9,67,60,977.6666666666666
0,10,56,49,622.4489795918367
0,11,55,42,525.7142857142857
0,12,59,48,646.25
0,13,64,55,618.5454545454545
0,14,61,50,520.4
0,15,63,53,575.4716981132076
0,16,61,52,788.8461538461538
0,17,61,48,771.6666666666666
0,18,61,49,737.1428571428571
0,19,61,50,952.8
0,20,61,47,818.7234042553191
0,21,62,40,753.0
0,22,56,33,951.5151515151515
0,23,67,45,959.5555555555555
0,24,56,32,1067.5
0,25,59,29,1279.3103448275863
0,26,59,27,959.2592592592592
0,27,65,37,605.4054054054054
1,2,54,33,329.09090909090907
1,3,66,30,433.3333333333333
1,4,58,30,384.0
1,5,61,33,220.0
1,6,67,32,487.5
1,7,53,22,590.0
1,8,62,29,833.7931034482758
1,9,70,23,974.7826086956521
1,10,64,19,685.2631578947369
1,11,60,23,510.4347826086956
1,12,60,20,601.0
1,13,58,20,681.0
1,14,54,9,591.1111111111111
1,15,48,6,673.3333333333334
1,16,59,14,894.2857142857143
1,17,60,12,768.3333333333334
1,18,57,12,811.6666666666666
1,19,68,7,1011.4285714285714
1,20,53,9,815.5555555555555
1,21,53,6,716.6666666666666
1,22,59,13,933.8461538461538
1,23,74,8,957.5
1,24,56,4,1010.0
1,25,51,6,1210.0
1,26,66,3,953.3333333333334
1,27,60,7,600.0
2,3,66,49,179.59183673469389
2,4,71,47,231.48936170212767
2,5,67,43,213.95348837209303
2,6,58,36,360.0
2,7,53,26,586.1538461538462
2,8,52,29,784.1379310344828
2,9,48,28,937.1428571428571
2,10,51,25,572.8
2,11,64,33,364.24242424242425
2,12,62,33,501.2121212121212
2,13,53,24,418.3333333333333
2,14,78,38,329.4736842105263
2,15,66,34,381.1764705882353
2,16,62,23,653.0434782608696
2,17,66,22,553.6363636363636
2,18,70,22,559.0909090909091
2,19,66,18,726.6666666666666
2,20,72,24,699.1666666666666
2,21,50,17,704.7058823529412
2,22,72,14,864.2857142857143
2,23,70,19,805.2631578947369
2,24,63,12,898.3333333333334
2,25,54,11,1076.3636363636363
2,26,68,13,878.4615384615385
2,27,59,16,373.75
3,4,62,59,166.4406779661017
3,5,52,26,356.15384615384613
3,6,60,48,439.1666666666667
3,7,62,47,617.4468085106383
3,8,54,44,857.7272727272727
3,9,57,41,937.560975609756
3,10,68,57,569.1228070175439
3,11,56,45,374.22222222222223
3,12,55,43,464.1860465116279
3,13,65,60,257.6666666666667
3,14,48,47,171.06382978723406
3,15,67,66,160.0
3,16,59,58,360.0
3,17,64,63,319.04761904761904
3,18,57,39,416.9230769230769
3,19,62,43,619.5348837209302
3,20,54,36,616.1111111111111
3,21,65,38,765.7894736842105
3,22,58,34,864.7058823529412
3,23,58,35,800.5714285714286
3,24,64,37,903.7837837837837
3,25,67,42,965.2380952380952
3,26,50,30,771.3333333333334
3,27,58,47,283.82978723404256
4,5,60,32,155.0
4,6,60,33,441.8181818181818
4,7,55,29,555.1724137931035
4,8,69,38,789.4736842105264
4,9,59,23,889.5652173913044
4,10,49,14,677.1428571428571
4,11,60,34,190.0
4,12,61,26,412.3076923076923
4,13,57,33,445.45454545454544
4,14,55,36,295.55555555555554
4,15,67,39,432.8205128205128
4,16,62,33,543.6363636363636
4,17,50,23,444.3478260869565
4,18,56,19,495.7894736842105
4,19,64,14,654.2857142857143
4,20,63,17,532.9411764705883
4,21,66,12,758.3333333333334
4,22,56,8,840.0
4,23,57,9,771.1111111111111
4,24,61,9,902.2222222222222
4,25,52,8,942.5
4,26,60,4,795.0
4,27,53,17,262.3529411764706
5,6,57,16,266.25
5,7,54,8,552.5
5,8,52,11,476.3636363636364
5,9,68,8,710.0
5,10,59,10,666.0
5,11,69,14,322.85714285714283
5,12,52,5,452.0
5,13,53,6,520.0
5,14,61,13,484.61538461538464
5,15,59,9,724.4444444444445
5,16,56,10,1012.0
5,17,60,6,736.6666666666666
5,18,58,3,760.0
5,19,60,6,973.3333333333334
5,20,45,4,500.0
5,21,70,3,613.3333333333334
5,22,70,1,500.0
5,23,63,4,670.0
5,24,68,2,650.0
5,25,57,6,1046.6666666666667
5,26,57,1,400.0
5,27,59,3,400.0
6,7,66,52,263.84615384615387
6,8,63,44,395.45454545454544
6,9,45,36,522.2222222222222
6,10,58,43,293.48837209302326
