source,target,generated,success,delays
0,1,65,62,25.161290322580644
0,2,64,60,24.0
0,3,63,59,76.27118644067797
0,4,68,63,102.53968253968254
0,5,77,70,61.142857142857146
0,6,56,53,107.54716981132076
0,7,56,47,155.31914893617022
0,8,53,45,224.44444444444446
0,9,67,56,240.0
0,10,56,47,166.38297872340425
0,11,55,38,142.10526315789474
0,12,59,48,181.66666666666666
0,13,64,50,162.4
0,14,61,49,119.59183673469387
0,15,63,50,132.0
0,16,61,50,168.0
0,17,61,40,176.0
0,18,61,47,199.5744680851064
0,19,61,42,247.61904761904762
0,20,61,36,233.33333333333334
0,21,62,39,215.89743589743588
0,22,56,33,251.5151515151515
0,23,67,42,276.1904761904762
0,24,56,32,290.0
0,25,59,27,295.55555555555554
0,26,59,27,254.07407407407408
0,27,65,34,132.94117647058823
1,2,54,39,66.15384615384616
1,3,66,38,114.73684210526316
1,4,58,35,92.0
1,5,61,35,36.0
1,6,67,36,114.44444444444444
1,7,53,23,159.1304347826087
1,8,62,23,195.65217391304347
1,9,70,22,241.8181818181818
1,10,64,21,168.57142857142858
1,11,60,17,147.05882352941177
1,12,60,15,177.33333333333334
1,13,58,15,209.33333333333334
1,14,54,9,166.66666666666666
1,15,48,8,195.0
1,16,59,12,240.0
1,17,60,12,220.0
1,18,57,13,213.84615384615384
1,19,68,10,260.0
1,20,53,13,247.69230769230768
1,21,53,8,300.0
1,22,59,10,308.0
1,23,74,4,290.0
1,24,56,4,300.0
1,25,51,7,317.14285714285717
1,26,66,4,270.0
1,27,60,7,197.14285714285714
2,3,66,49,66.53061224489795
2,4,71,47,69.36170212765957
2,5,67,50,26.4
2,6,58,35,85.14285714285714
2,7,53,29,162.06896551724137
2,8,52,31,187.74193548387098
2,9,48,27,227.40740740740742
2,10,51,28,160.0
2,11,64,31,100.0
2,12,62,34,162.35294117647058
2,13,53,21,138.0952380952381
2,14,78,41,114.63414634146342
2,15,66,37,110.8108108108108
2,16,62,29,207.58620689655172
2,17,66,26,167.69230769230768
2,18,70,26,166.15384615384616
2,19,66,21,206.66666666666666
2,20,72,23,192.17391304347825
2,21,50,19,177.89473684210526
2,22,72,18,235.55555555555554
2,23,70,18,237.77777777777777
2,24,63,9,242.22222222222223
2,25,54,14,271.42857142857144
2,26,68,12,213.33333333333334
2,27,59,13,121.53846153846153
3,4,62,59,49.152542372881356
3,5,52,32,110.0
3,6,60,49,126.12244897959184
3,7,62,53,183.0188679245283
3,8,54,42,221.9047619047619
3,9,57,36,232.22222222222223
3,10,68,59,163.72881355932202
3,11,56,45,80.44444444444444
3,12,55,45,140.0
3,13,65,57,62.80701754385965
3,14,48,45,36.0
3,15,67,62,23.870967741935484
3,16,59,55,62.90909090909091
3,17,64,58,72.41379310344827
3,18,57,38,127.36842105263158
3,19,62,42,169.52380952380952
3,20,54,39,185.12820512820514
3,21,65,37,213.51351351351352
3,22,58,37,256.7567567567568
3,23,58,34,215.2941176470588
3,24,64,39,243.5897435897436
3,25,67,37,216.75675675675674
3,26,50,28,242.85714285714286
3,27,58,48,54.166666666666664
4,5,60,38,30.526315789473685
4,6,60,39,86.66666666666667
