source,target,generated,success,delays
0,1,106,106,22.264150943396228
0,2,102,101,25.544554455445546
0,3,98,93,38.924731182795696
0,4,110,105,54.285714285714285
0,5,92,84,44.285714285714285
0,6,100,89,68.53932584269663
0,7,90,78,108.2051282051282
0,8,100,72,133.33333333333334
0,9,104,76,151.57894736842104
0,10,103,75,129.33333333333334
0,11,121,90,101.33333333333333
0,12,89,53,126.41509433962264
0,13,107,51,122.74509803921569
0,14,101,40,107.0
0,15,99,40,105.0
0,16,104,22,130.9090909090909
0,17,97,28,147.14285714285714
0,18,99,23,148.69565217391303
0,19,82,10,204.0
0,20,101,12,170.0
0,21,104,8,165.0
0,22,113,10,160.0
0,23,87,6,186.66666666666666
0,24,113,8,185.0
0,25,97,4,200.0
0,26,101,2,160.0
0,27,106,3,126.66666666666667
1,2,114,83,36.86746987951807
1,3,99,53,79.62264150943396
1,4,108,51,42.745098039215684
1,5,106,49,37.95918367346939
1,6,90,31,72.90322580645162
1,7,86,24,95.0
1,8,93,23,113.91304347826087
1,9,106,23,159.1304347826087
1,10,94,17,142.35294117647058
1,11,94,16,85.0
1,12,94,12,143.33333333333334
1,13,104,13,115.38461538461539
1,14,94,5,148.0
1,15,95,4,100.0
1,16,94,2,120.0
1,17,105,2,140.0
1,18,97,2,100.0
1,19,100,0,0.0
1,20,117,1,100.0
1,21,97,1,140.0
1,22,100,0,0.0
1,23,96,0,0.0
1,24,108,0,0.0
1,25,83,0,0.0
1,26,109,0,0.0
1,27,105,0,0.0
2,3,102,71,57.183098591549296
2,4,91,66,53.333333333333336
2,5,102,86,27.906976744186046
2,6,118,71,76.33802816901408
2,7,108,57,117.54385964912281
2,8,102,42,151.42857142857142
2,9,95,44,170.0
2,10,102,56,142.14285714285714
2,11,100,31,87.09677419354838
2,12,96,28,108.57142857142857
2,13,101,30,100.0
2,14,103,34,72.94117647058823
2,15,87,26,86.15384615384616
2,16,94,20,116.0
2,17,104,14,108.57142857142857
2,18,90,7,128.57142857142858
2,19,98,14,148.57142857142858
2,20,110,9,157.77777777777777
2,21,106,7,197.14285714285714
2,22,95,5,212.0
2,23,98,2,180.0
2,24,101,2,180.0
2,25,104,2,160.0
2,26,84,1,100.0
2,27,89,4,140.0
3,4,110,98,41.63265306122449
3,5,107,42,77.14285714285714
3,6,106,79,96.9620253164557
3,7,99,71,145.07042253521126
3,8,99,57,170.17543859649123
3,9,82,46,169.56521739130434
3,10,91,56,131.42857142857142
3,11,89,57,85.26315789473684
3,12,90,54,106.66666666666667
3,13,95,62,61.935483870967744
3,14,92,64,46.25
3,15,96,68,42.94117647058823
3,16,86,61,49.50819672131148
3,17,105,68,56.470588235294116
3,18,104,32,82.5
3,19,107,44,138.1818181818182
3,20,104,28,135.71428571428572
3,21,89,22,165.45454545454547
3,22,110,18,188.88888888888889
3,23,106,12,166.66666666666666
3,24,104,9,188.88888888888889
3,25,78,5,188.0
3,26,106,8,190.0
3,27,95,21,48.57142857142857
4,5,94,43,25.58139534883721
4,6,108,59,74.91525423728814
4,7,95,32,137.5
4,8,102,31,137.41935483870967
4,9,106,29,140.0
4,10,101,34,101.17647058823529
