src,dst,delay
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,100
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,100
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,100
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,2,100
0,2,20
0,2,20
0,2,20
0,2,20
0,2,60
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,60
0,2,20
0,2,100
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,3,60
0,3,20
0,3,20
0,3,60
0,3,20
0,3,20
0,3,100
0,3,20
0,3,20
0,3,60
0,3,20
0,3,20
0,3,20
0,3,60
0,3,20
0,3,100
0,3,20
0,3,20
0,3,20
0,3,20
0,3,60
0,3,20
0,3,20
0,3,20
0,3,60
0,3,20
0,3,60
0,3,60
0,3,20
0,3,60
0,3,20
0,3,20
0,3,20
0,3,100
0,3,60
0,3,60
0,3,60
0,3,20
0,3,20
0,3,100
0,3,20
0,3,20
0,3,20
0,3,20
0,3,20
0,3,20
0,3,20
0,3,20
0,3,100
0,3,20
0,3,60
0,3,20
0,3,20
0,3,20
0,3,20
0,3,20
0,3,20
0,3,20
0,3,20
0,3,20
0,3,100
0,4,60
0,4,60
0,4,60
0,4,60
0,4,100
0,4,60
0,4,60
0,4,60
0,4,60
0,4,60
0,4,100
0,4,60
0,4,100
0,4,60
0,4,60
0,4,60
0,4,100
0,4,60
0,4,20
0,4,100
0,4,60
0,4,20
0,4,20
0,4,60
0,4,60
0,4,60
0,4,60
0,4,60
0,4,100
0,4,60
0,4,60
0,4,60
0,4,100
0,4,60
0,4,100
0,4,20
0,4,20
0,4,60
0,4,60
0,4,60
0,4,60
0,4,60
0,4,60
0,4,60
0,4,60
0,4,20
0,4,60
0,4,60
0,4,100
0,4,60
0,4,60
0,4,20
0,4,60
0,4,60
0,4,20
0,4,20
0,4,60
0,4,60
0,4,60
0,4,100
0,4,60
0,4,100
0,5,60
0,5,20
0,5,20
0,5,20
0,5,100
0,5,60
0,5,20
0,5,60
0,5,20
0,5,20
0,5,20
0,5,60
0,5,20
0,5,60
0,5,60
0,5,20
0,5,60
0,5,60
0,5,60
0,5,20
0,5,60
0,5,20
0,5,20
0,5,20
0,5,20
0,5,20
0,5,20
0,5,60
0,5,20
0,5,60
0,5,60
0,5,60
0,5,20
0,5,20
0,5,20
0,5,20
0,5,60
0,5,20
0,5,20
0,5,60
0,5,20
0,5,20
0,5,60
0,5,20
0,5,60
0,5,20
0,5,60
0,5,60
0,5,20
0,5,60
0,5,60
0,5,60
0,5,60
0,5,20
0,5,60
0,5,60
0,5,60
0,5,60
0,5,60
0,5,20
0,5,60
0,5,60
0,5,20
0,5,20
0,5,20
0,5,60
0,5,20
0,5,20
0,5,100
0,5,60
0,5,20
0,5,20
0,5,20
0,6,100
0,6,60
0,6,60
0,6,20
0,6,60
0,6,60
0,6,60
0,6,60
0,6,60
0,6,60
0,6,60
0,6,60
0,6,100
0,6,60
0,6,60
0,6,60
0,6,100
0,6,100
0,6,60
0,6,60
0,6,100
0,6,60
0,6,60
0,6,60
0,6,60
0,6,20
0,6,140
0,6,60
0,6,20
0,6,60
0,6,60
0,6,60
0,6,60
0,6,60
0,6,60
0,6,60
0,6,60
0,6,20
0,6,60
0,6,60
0,6,60
0,6,100
0,6,60
0,6,100
0,6,60
0,6,60
0,6,60
0,6,100
0,6,60
0,6,60
0,6,60
0,6,60
0,7,100
0,7,100
0,7,100
0,7,100
0,7,60
0,7,100
0,7,180
0,7,100
0,7,180
0,7,60
0,7,100
0,7,180
0,7,140
0,7,180
0,7,260
0,7,100
0,7,60
0,7,100
0,7,60
0,7,60
0,7,100
0,7,100
0,7,60
0,7,100
0,7,140
0,7,60
0,7,100
0,7,100
0,7,60
0,7,100
0,7,100
0,7,100
0,7,60
0,7,60
0,7,100
0,7,100
0,7,60
0,7,100
0,7,100
0,7,220
0,7,220
0,7,60
0,7,60
0,7,100
0,7,100
0,7,60
0,7,60
0,7,100
0,8,180
0,8,100
0,8,140
0,8,220
0,8,140
0,8,100
0,8,100
0,8,140
0,8,220
0,8,100
0,8,100
0,8,140
0,8,140
0,8,180
0,8,140
0,8,100
0,8,100
0,8,100
0,8,140
0,8,180
0,8,100
0,8,60
0,8,140
0,8,100
0,8,100
0,8,140
0,8,140
0,8,140
0,8,180
0,8,100
0,8,140
0,8,140
0,8,100
0,8,140
0,8,100
0,8,140
0,8,100
0,8,100
0,8,100
0,8,140
0,8,100
0,8,100
0,8,100
0,8,140
0,8,100
0,8,100
0,9,100
0,9,140
0,9,180
0,9,140
0,9,140
0,9,140
0,9,140
0,9,140
0,9,180
0,9,100
0,9,140
0,9,180
0,9,100
0,9,140
0,9,180
0,9,180
0,9,100
0,9,220
0,9,180
0,9,140
0,9,140
0,9,180
0,9,140
0,9,140
0,9,220
0,9,140
0,9,140
0,9,100
0,9,100
0,9,140
0,9,140
0,9,140
0,9,100
0,9,140
0,9,180
0,9,180
0,9,100
0,9,180
0,9,140
0,9,180
0,9,100
0,9,140
0,9,180
0,9,180
0,9,140
0,9,180
0,9,140
0,9,180
0,9,140
0,9,100
0,9,140
0,9,100
0,9,180
0,9,100
0,10,220
0,10,100
0,10,180
0,10,180
0,10,140
0,10,100
0,10,220
0,10,140
0,10,140
0,10,100
0,10,100
0,10,180
0,10,100
0,10,60
0,10,180
0,10,100
0,10,100
0,10,100
0,10,100
0,10,100
0,10,100
0,10,100
0,10,60
0,10,100
0,10,140
0,10,140
0,10,100
0,10,100
0,10,100
0,10,100
0,10,100
0,10,180
0,10,140
0,10,100
0,10,100
0,10,100
0,10,60
0,10,60
0,10,60
0,10,140
0,10,140
0,10,140
0,10,100
0,10,140
0,10,100
0,10,100
0,10,100
0,11,100
0,11,100
0,11,140
0,11,100
0,11,100
0,11,100
0,11,100
0,11,100
0,11,60
0,11,100
0,11,100
0,11,100
0,11,100
0,11,60
0,11,60
0,11,100
0,11,20
0,11,60
0,11,100
0,11,100
0,11,100
0,11,60
0,11,60
0,11,100
0,11,100
0,11,100
0,11,60
0,11,100
0,11,60
0,11,60
0,11,60
0,11,100
0,11,60
0,11,100
0,11,100
0,11,60
0,11,100
0,11,100
0,11,60
0,11,60
0,12,100
0,12,140
0,12,60
0,12,60
0,12,140
0,12,100
0,12,100
0,12,100
0,12,100
0,12,100
0,12,180
0,12,100
0,12,140
0,12,100
0,12,140
0,12,60
0,12,100
0,12,100
0,12,100
0,12,100
0,12,100
0,12,140
0,12,100
0,12,100
0,12,100
0,12,100
0,12,140
0,12,140
0,12,60
0,12,100
0,12,140
0,12,60
0,12,100
0,12,60
0,12,100
0,12,100
0,12,100
0,12,140
0,12,100
0,12,100
0,12,100
0,12,100
0,12,100
0,12,100
0,13,140
0,13,140
0,13,100
0,13,100
0,13,100
0,13,100
0,13,140
0,13,100
0,13,60
0,13,100
0,13,140
0,13,100
0,13,100
0,13,100
0,13,140
0,13,140
0,13,100
0,13,100
0,13,100
0,13,100
0,13,100
0,13,100
0,13,140
0,13,60
0,13,140
0,13,140
0,13,100
0,13,100
0,13,60
0,13,100
0,13,140
0,13,60
