src,dst,delay
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,100
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,100
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,100
0,1,20
0,1,20
0,1,220
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,100
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,100
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,100
0,1,100
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,1,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,100
0,2,60
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,60
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,60
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,60
0,2,60
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,2,20
0,3,20
0,3,20
0,3,60
0,3,20
0,3,60
0,3,20
0,3,140
0,3,60
0,3,20
0,3,20
0,3,20
0,3,20
0,3,60
0,3,20
0,3,20
0,3,60
0,3,20
0,3,20
0,3,20
0,3,20
0,3,20
0,3,20
0,3,60
0,3,20
0,3,100
0,3,20
0,3,60
0,3,20
0,3,20
0,3,20
0,3,20
0,3,20
0,3,20
0,3,20
0,3,20
0,3,20
0,3,20
0,3,20
0,3,140
0,3,20
0,3,20
0,3,20
0,3,100
0,3,20
0,3,20
0,3,20
0,3,20
0,3,60
0,3,60
0,3,20
0,3,20
0,3,60
0,3,140
0,3,20
0,3,20
0,3,60
0,3,100
0,3,20
0,3,20
0,3,20
0,3,20
0,3,140
0,3,60
0,3,20
0,3,20
0,3,20
0,3,20
0,3,20
0,3,60
0,3,20
0,3,60
0,3,20
0,3,100
0,3,20
0,3,20
0,3,20
0,3,20
0,3,60
0,3,140
0,3,20
0,3,60
0,3,180
0,3,20
0,3,20
0,3,20
0,3,20
0,3,20
0,3,100
0,3,100
0,3,100
0,3,20
0,3,20
0,3,60
0,3,60
0,4,60
0,4,60
0,4,60
0,4,60
0,4,100
0,4,60
0,4,60
0,4,60
0,4,20
0,4,20
0,4,20
0,4,60
0,4,60
0,4,100
0,4,100
0,4,60
0,4,60
0,4,100
0,4,140
0,4,100
0,4,60
0,4,100
0,4,20
0,4,60
0,4,20
0,4,100
0,4,100
0,4,20
0,4,60
0,4,60
0,4,140
0,4,60
0,4,60
0,4,100
0,4,20
0,4,20
0,4,60
0,4,60
0,4,20
0,4,60
0,4,140
0,4,100
0,4,60
0,4,100
0,4,100
0,4,20
0,4,60
0,4,60
0,4,60
0,4,20
0,4,60
0,4,140
0,4,60
0,4,60
0,4,60
0,4,100
0,4,60
0,4,60
0,4,60
0,4,20
0,4,60
0,4,20
0,4,100
0,4,20
0,4,60
0,4,60
0,4,20
0,4,60
0,4,140
0,4,60
0,4,60
0,4,60
0,4,100
0,4,100
0,4,60
0,4,60
0,4,60
0,4,60
0,4,60
0,4,60
0,4,100
0,4,60
0,4,60
0,4,60
0,4,60
0,4,60
0,4,140
0,4,60
0,4,60
0,4,100
0,4,60
0,4,20
0,4,100
0,4,60
0,4,100
0,4,60
0,4,60
0,4,60
0,4,60
0,4,20
0,4,100
0,4,60
0,4,60
0,5,60
0,5,60
0,5,20
0,5,60
0,5,60
0,5,20
0,5,60
0,5,60
0,5,60
0,5,20
0,5,60
0,5,20
0,5,20
0,5,20
0,5,20
0,5,60
0,5,20
0,5,20
0,5,20
0,5,20
0,5,20
0,5,20
0,5,20
0,5,60
0,5,20
0,5,60
0,5,60
0,5,20
0,5,60
0,5,20
0,5,20
0,5,20
0,5,20
0,5,60
0,5,20
0,5,20
0,5,20
0,5,20
0,5,60
0,5,60
0,5,100
0,5,20
0,5,60
0,5,20
0,5,20
0,5,20
0,5,60
0,5,60
0,5,60
0,5,20
0,5,20
0,5,60
0,5,20
0,5,20
0,5,60
0,5,20
0,5,60
0,5,60
0,5,100
0,5,20
0,5,20
0,5,20
0,5,60
0,5,60
0,5,20
0,5,60
0,5,60
0,5,20
0,5,60
0,5,20
0,5,60
0,5,60
0,5,60
0,5,20
0,5,20
0,5,100
0,5,20
0,5,20
0,5,60
0,6,100
0,6,100
0,6,60
0,6,60
0,6,60
0,6,100
0,6,100
0,6,60
0,6,60
0,6,20
0,6,60
0,6,60
0,6,20
0,6,60
0,6,100
0,6,60
0,6,60
0,6,100
0,6,60
0,6,60
0,6,100
0,6,60
0,6,100
0,6,60
0,6,60
0,6,60
0,6,100
0,6,60
0,6,100
0,6,180
0,6,60
0,6,100
0,6,60
0,6,60
0,6,100
0,6,60
0,6,60
0,6,60
0,6,60
0,6,60
0,6,140
0,6,60
0,6,20
0,6,60
0,6,60
0,6,60
0,6,100
0,6,60
0,6,60
0,6,60
0,6,60
0,6,100
0,6,60
0,6,100
0,6,20
0,6,180
0,6,60
0,6,140
0,6,60
0,6,60
0,6,60
0,6,60
0,6,60
0,6,60
0,6,60
0,6,60
0,6,60
0,6,60
0,6,60
0,6,60
0,6,60
0,6,60
0,6,60
0,6,100
0,6,60
0,6,60
0,6,60
0,6,100
0,6,60
0,6,100
0,6,100
0,6,140
0,6,60
0,6,60
0,7,100
0,7,100
0,7,100
0,7,100
0,7,100
0,7,60
0,7,100
0,7,300
0,7,100
0,7,140
0,7,100
0,7,100
0,7,140
0,7,60
0,7,100
0,7,180
0,7,220
0,7,140
0,7,100
0,7,100
0,7,60
0,7,300
0,7,60
0,7,100
0,7,100
0,7,100
0,7,100
0,7,140
0,7,140
0,7,100
0,7,220
0,7,220
0,7,140
0,7,60
0,7,100
0,7,60
0,7,140
0,7,140
0,7,60
0,7,100
0,7,60
0,7,100
0,7,60
0,7,140
0,7,60
0,7,220
0,7,220
0,7,100
0,7,60
0,7,100
0,7,100
0,7,140
0,7,100
0,7,100
0,7,140
0,7,100
0,7,100
0,7,100
0,7,140
0,7,60
0,7,100
0,7,220
0,7,180
0,7,60
0,7,60
0,7,100
0,7,60
0,7,180
0,7,180
0,7,60
0,7,260
0,7,180
0,7,100
0,7,140
0,8,100
0,8,100
0,8,100
0,8,100
0,8,140
0,8,260
0,8,100
0,8,140
0,8,100
0,8,180
0,8,220
0,8,60
0,8,100
0,8,100
0,8,180
0,8,100
0,8,100
0,8,140
0,8,100
0,8,220
0,8,140
0,8,100
0,8,100
0,8,140
0,8,60
0,8,140
0,8,100
0,8,100
0,8,180
0,8,140
0,8,60
0,8,220
0,8,60
0,8,180
0,8,140
0,8,100
0,8,100
0,8,140
0,8,100
0,8,180
0,8,180
0,8,220
0,8,380
0,8,100
0,8,100
