source,target,generated,success,delays
0,1,65,64,106.5625
0,2,64,61,193.11475409836066
0,3,63,60,364.3333333333333
0,4,68,63,413.015873015873
0,5,77,71,304.50704225352115
0,6,56,53,487.92452830188677
0,7,56,50,737.2
0,8,53,47,1043.404255319149
0,9,67,60,1059.3333333333333
0,10,56,50,683.2
0,11,55,41,548.780487804878
0,12,59,47,699.5744680851063
0,13,64,54,662.9629629629629
0,14,61,50,543.2
0,15,63,52,616.5384615384615
0,16,61,51,779.6078431372549
0,17,61,44,787.7272727272727
0,18,61,48,800.8333333333334
0,19,61,47,1007.6595744680851
0,20,61,42,885.7142857142857
0,21,62,39,829.7435897435897
0,22,56,35,1056.5714285714287
0,23,67,44,979.0909090909091
0,24,56,33,1121.8181818181818
0,25,59,31,1350.3225806451612
0,26,59,28,987.8571428571429
0,27,65,36,626.1111111111111
1,2,54,38,317.89473684210526
1,3,66,30,471.3333333333333
1,4,58,33,392.1212121212121
1,5,61,34,230.58823529411765
1,6,67,32,486.875
1,7,53,20,638.0
1,8,62,26,937.6923076923077
1,9,70,22,989.0909090909091
1,10,64,24,746.6666666666666
1,11,60,24,537.5
1,12,60,19,782.1052631578947
1,13,58,19,703.1578947368421
1,14,54,11,598.1818181818181
1,15,48,7,834.2857142857143
1,16,59,15,920.0
1,17,60,12,786.6666666666666
1,18,57,12,868.3333333333334
1,19,68,10,1186.0
1,20,53,8,765.0
1,21,53,6,990.0
1,22,59,12,1060.0
1,23,74,8,1025.0
1,24,56,3,1160.0
1,25,51,7,1425.7142857142858
1,26,66,4,1370.0
1,27,60,7,611.4285714285714
2,3,66,45,287.1111111111111
2,4,71,46,239.56521739130434
2,5,67,48,167.08333333333334
2,6,58,34,380.0
2,7,53,28,751.4285714285714
2,8,52,29,849.6551724137931
2,9,48,28,960.0
2,10,51,26,715.3846153846154
2,11,64,32,415.0
2,12,62,32,541.25
2,13,53,24,431.6666666666667
2,14,78,38,421.57894736842104
2,15,66,37,369.18918918918916
2,16,62,26,789.2307692307693
2,17,66,21,641.9047619047619
2,18,70,20,536.0
2,19,66,19,780.0
2,20,72,23,796.5217391304348
2,21,50,16,738.75
2,22,72,13,906.1538461538462
2,23,70,19,883.1578947368421
2,24,63,11,934.5454545454545
2,25,54,11,1178.1818181818182
2,26,68,13,861.5384615384615
2,27,59,16,442.5
3,4,62,59,181.01694915254237
3,5,52,31,366.4516129032258
3,6,60,50,526.4
3,7,62,52,818.0769230769231
3,8,54,45,982.6666666666666
3,9,57,35,954.2857142857143
3,10,68,55,662.9090909090909
3,11,56,47,311.48936170212767
3,12,55,43,515.8139534883721
3,13,65,61,283.60655737704917
3,14,48,47,188.93617021276594
3,15,67,66,160.0
3,16,59,58,360.0
3,17,64,63,334.2857142857143
3,18,57,39,472.3076923076923
3,19,62,41,742.9268292682926
3,20,54,38,790.5263157894736
3,21,65,38,744.2105263157895
3,22,58,35,936.5714285714286
3,23,58,33,776.3636363636364
3,24,64,39,884.1025641025641
3,25,67,42,1080.952380952381
3,26,50,28,963.5714285714286
3,27,58,46,247.3913043478261
4,5,60,33,135.75757575757575
4,6,60,32,416.875
4,7,55,33,548.4848484848485
4,8,69,37,830.8108108108108
4,9,59,29,1053.7931034482758
4,10,49,18,655.5555555555555
4,11,60,37,196.75675675675674
4,12,61,23,500.0
4,13,57,31,420.64516129032256
4,14,55,40,318.5
4,15,67,50,381.6
4,16,62,37,553.5135135135135
4,17,50,30,534.0
4,18,56,20,585.0
4,19,64,18,676.6666666666666
4,20,63,22,658.1818181818181
4,21,66,14,765.7142857142857
4,22,56,9,713.3333333333334
4,23,57,12,790.0
4,24,61,14,952.8571428571429
4,25,52,9,1266.6666666666667
4,26,60,7,814.2857142857143
4,27,53,17,345.88235294117646
5,6,57,22,221.8181818181818
5,7,54,10,412.0
5,8,52,13,620.0
5,9,68,8,977.5
5,10,59,12,481.6666666666667
5,11,69,14,454.2857142857143
5,12,52,8,505.0
5,13,53,7,591.4285714285714
5,14,61,15,562.6666666666666
5,15,59,11,549.0909090909091
5,16,56,11,1005.4545454545455
5,17,60,9,697.7777777777778
5,18,58,4,465.0
5,19,60,2,1220.0
5,20,45,4,1010.0
5,21,70,3,693.3333333333334
5,22,70,3,533.3333333333334
5,23,63,3,820.0
5,24,68,2,1090.0
5,25,57,3,900.0
5,26,57,1,400.0
5,27,59,6,510.0
6,7,66,54,224.8148148148148
6,8,63,42,470.95238095238096
6,9,45,38,502.63157894736844
6,10,58,43,269.30232558139534
6,11,49,36,219.44444444444446
6,12,66,48,482.0833333333333
6,13,54,25,572.8
6,14,55,17,584.7058823529412
6,15,66,16,1078.75
6,16,62,10,1140.0
6,17,61,10,826.0
6,18,54,33,747.2727272727273
6,19,62,38,827.3684210526316
6,20,65,40,567.5
6,21,68,38,552.1052631578947
6,22,60,29,622.7586206896551
6,23,66,34,715.8823529411765
6,24,50,26,915.3846153846154
6,25,64,29,1118.6206896551723
6,26,65,27,506.6666666666667
6,27,61,15,472.0
7,8,71,58,176.89655172413794
7,9,59,41,345.8536585365854
7,10,56,28,641.4285714285714
7,11,61,26,525.3846153846154
7,12,57,29,884.1379310344828
7,13,55,10,1130.0
7,14,51,1,560.0
7,15,58,5,1344.0
7,16,64,4,1530.0
7,17,50,1,740.0
7,18,62,18,965.5555555555555
7,19,58,20,1136.0
7,20,63,24,940.0
7,21,65,20,767.0
7,22,68,16,845.0
7,23,59,12,948.3333333333334
7,24,74,10,878.0
7,25,56,9,1277.7777777777778
7,26,61,10,554.0
7,27,66,4,810.0
8,9,49,37,140.0
8,10,47,21,656.1904761904761
8,11,53,9,935.5555555555555
8,12,45,16,848.75
8,13,56,5,1012.0
8,14,68,4,1275.0
8,15,59,1,1520.0
8,16,60,3,1086.6666666666667
8,17,54,2,1130.0
8,18,60,16,1067.5
8,19,69,19,1056.842105263158
