source,target,generated,success,delays
0,1,65,64,31.25
0,2,64,61,37.049180327868854
0,3,63,59,84.40677966101696
0,4,68,62,107.74193548387096
0,5,77,71,61.12676056338028
0,6,56,53,119.62264150943396
0,7,56,47,182.5531914893617
0,8,53,44,270.0
0,9,67,56,267.85714285714283
0,10,56,48,182.5
0,11,55,39,142.05128205128204
0,12,59,47,199.5744680851064
0,13,64,50,179.2
0,14,61,48,139.16666666666666
0,15,63,49,157.14285714285714
0,16,61,50,188.0
0,17,61,41,199.5121951219512
0,18,61,44,227.27272727272728
0,19,61,45,269.77777777777777
0,20,61,41,262.9268292682927
0,21,62,37,234.05405405405406
0,22,56,31,279.35483870967744
0,23,67,42,280.0
0,24,56,32,307.5
0,25,59,27,329.6296296296296
0,26,59,27,254.07407407407408
0,27,65,32,157.5
1,2,54,39,62.05128205128205
1,3,66,37,130.27027027027026
1,4,58,33,84.24242424242425
1,5,61,37,45.945945945945944
1,6,67,37,121.62162162162163
1,7,53,18,153.33333333333334
1,8,62,25,223.2
1,9,70,19,251.57894736842104
1,10,64,23,174.7826086956522
1,11,60,20,146.0
1,12,60,18,235.55555555555554
1,13,58,16,192.5
1,14,54,7,197.14285714285714
1,15,48,8,195.0
1,16,59,11,194.54545454545453
1,17,60,12,216.66666666666666
1,18,57,13,235.3846153846154
1,19,68,10,304.0
1,20,53,10,268.0
1,21,53,7,202.85714285714286
1,22,59,9,317.77777777777777
1,23,74,5,324.0
1,24,56,5,324.0
1,25,51,8,335.0
1,26,66,0,0.0
1,27,60,5,172.0
2,3,66,46,67.82608695652173
2,4,71,46,68.69565217391305
2,5,67,45,36.0
2,6,58,34,102.3529411764706
2,7,53,26,173.84615384615384
2,8,52,31,230.32258064516128
2,9,48,27,252.59259259259258
2,10,51,26,204.6153846153846
2,11,64,29,124.82758620689656
2,12,62,29,180.0
2,13,53,23,141.7391304347826
2,14,78,39,103.07692307692308
2,15,66,38,113.6842105263158
2,16,62,24,203.33333333333334
2,17,66,23,174.7826086956522
2,18,70,20,188.0
2,19,66,19,217.89473684210526
2,20,72,24,216.66666666666666
2,21,50,14,220.0
2,22,72,16,282.5
2,23,70,22,256.3636363636364
2,24,63,10,272.0
2,25,54,10,284.0
2,26,68,13,198.46153846153845
2,27,59,17,125.88235294117646
3,4,62,60,42.666666666666664
3,5,52,33,92.72727272727273
3,6,60,53,166.41509433962264
3,7,62,57,207.3684210526316
3,8,54,42,241.9047619047619
3,9,57,36,243.33333333333334
3,10,68,55,180.0
3,11,56,46,83.47826086956522
3,12,55,45,145.33333333333334
3,13,65,61,67.8688524590164
3,14,48,45,28.0
3,15,67,64,33.125
3,16,59,56,69.28571428571429
3,17,64,58,73.79310344827586
3,18,57,40,128.0
3,19,62,43,194.88372093023256
3,20,54,35,205.14285714285714
3,21,65,41,238.53658536585365
3,22,58,37,276.2162162162162
3,23,58,35,240.57142857142858
3,24,64,37,242.7027027027027
3,25,67,38,249.47368421052633
3,26,50,27,221.4814814814815
3,27,58,47,56.59574468085106
4,5,60,36,33.333333333333336
4,6,60,39,100.0
4,7,55,36,145.55555555555554
4,8,69,42,203.8095238095238
4,9,59,31,213.5483870967742
4,10,49,19,186.31578947368422
4,11,60,46,41.73913043478261
4,12,61,30,124.0
4,13,57,34,127.05882352941177
4,14,55,38,89.47368421052632
4,15,67,47,93.19148936170212
4,16,62,31,119.35483870967742
