source,target,generated,success,delays
0,1,65,63,29.523809523809526
0,2,64,64,28.125
0,3,63,61,54.09836065573771
0,4,68,64,77.5
0,5,77,72,47.77777777777778
0,6,56,53,83.39622641509433
0,7,56,48,119.16666666666667
0,8,53,48,157.5
0,9,67,56,175.71428571428572
0,10,56,48,125.83333333333333
0,11,55,41,100.97560975609755
0,12,59,43,121.3953488372093
0,13,64,51,132.15686274509804
0,14,61,43,110.23255813953489
0,15,63,45,108.88888888888889
0,16,61,44,134.54545454545453
0,17,61,38,149.47368421052633
0,18,61,28,167.14285714285714
0,19,61,35,206.28571428571428
0,20,61,31,165.80645161290323
0,21,62,26,166.15384615384616
0,22,56,31,180.0
0,23,67,38,206.31578947368422
0,24,56,24,200.0
0,25,59,21,210.47619047619048
0,26,59,26,150.76923076923077
0,27,65,22,114.54545454545455
1,2,54,41,34.63414634146341
1,3,66,49,77.14285714285714
1,4,58,38,66.3157894736842
1,5,61,40,35.0
1,6,67,36,56.666666666666664
1,7,53,26,104.61538461538461
1,8,62,33,171.5151515151515
1,9,70,27,166.66666666666666
1,10,64,22,143.63636363636363
1,11,60,18,93.33333333333333
1,12,60,22,129.0909090909091
1,13,58,19,144.21052631578948
1,14,54,15,126.66666666666667
1,15,48,9,140.0
1,16,59,16,147.5
1,17,60,13,158.46153846153845
1,18,57,7,128.57142857142858
1,19,68,6,173.33333333333334
1,20,53,4,160.0
1,21,53,4,220.0
1,22,59,6,120.0
1,23,74,13,164.6153846153846
1,24,56,3,260.0
1,25,51,4,210.0
1,26,66,2,220.0
1,27,60,4,140.0
2,3,66,48,52.5
2,4,71,44,64.54545454545455
2,5,67,52,36.92307692307692
2,6,58,33,50.303030303030305
2,7,53,29,124.82758620689656
2,8,52,28,130.0
2,9,48,18,131.11111111111111
2,10,51,28,132.85714285714286
2,11,64,31,85.80645161290323
2,12,62,28,127.14285714285714
2,13,53,24,111.66666666666667
2,14,78,35,80.57142857142857
2,15,66,21,65.71428571428571
2,16,62,23,94.78260869565217
2,17,66,23,133.04347826086956
2,18,70,18,135.55555555555554
2,19,66,19,158.94736842105263
2,20,72,17,142.35294117647058
2,21,50,14,137.14285714285714
2,22,72,11,169.0909090909091
2,23,70,18,206.66666666666666
2,24,63,10,200.0
2,25,54,10,196.0
2,26,68,6,173.33333333333334
2,27,59,10,88.0
3,4,62,56,50.714285714285715
3,5,52,30,77.33333333333333
3,6,60,52,93.84615384615384
3,7,62,51,137.64705882352942
3,8,54,40,173.0
3,9,57,40,184.0
3,10,68,48,149.16666666666666
3,11,56,42,70.47619047619048
3,12,55,39,105.12820512820512
3,13,65,51,61.568627450980394
3,14,48,40,40.0
3,15,67,61,36.39344262295082
3,16,59,51,49.01960784313726
3,17,64,53,53.9622641509434
3,18,57,34,108.23529411764706
3,19,62,39,138.97435897435898
3,20,54,29,135.86206896551724
3,21,65,31,173.5483870967742
3,22,58,28,188.57142857142858
3,23,58,25,162.4
3,24,64,23,199.1304347826087
3,25,67,22,163.63636363636363
3,26,50,20,190.0
3,27,58,32,66.25
4,5,60,34,51.76470588235294
4,6,60,34,65.88235294117646
4,7,55,27,114.81481481481481
4,8,69,32,137.5
4,9,59,26,150.76923076923077
4,10,49,25,95.2
4,11,60,43,43.25581395348837
4,12,61,26,58.46153846153846
4,13,57,26,80.0
4,14,55,30,68.0
4,15,67,36,64.44444444444444
4,16,62,30,92.0
4,17,50,19,102.10526315789474
4,18,56,18,115.55555555555556
4,19,64,22,136.36363636363637
4,20,63,18,117.77777777777777
4,21,66,14,151.42857142857142
4,22,56,11,154.54545454545453
4,23,57,8,150.0
4,24,61,7,157.14285714285714
4,25,52,8,140.0
4,26,60,7,134.28571428571428
4,27,53,14,45.714285714285715
5,6,57,13,53.84615384615385
5,7,54,14,60.0
5,8,52,7,82.85714285714286
5,9,68,13,136.92307692307693
5,10,59,7,122.85714285714286
