source,target,generated,success,delays
0,1,65,65,31.076923076923077
0,2,64,64,25.625
0,3,63,61,63.278688524590166
0,4,68,66,83.03030303030303
0,5,77,71,43.098591549295776
0,6,56,51,84.31372549019608
0,7,56,48,138.33333333333334
0,8,53,45,170.22222222222223
0,9,67,55,173.45454545454547
0,10,56,47,142.5531914893617
0,11,55,42,101.9047619047619
0,12,59,42,129.52380952380952
0,13,64,51,112.54901960784314
0,14,61,41,113.65853658536585
0,15,63,44,101.81818181818181
0,16,61,38,131.57894736842104
0,17,61,37,132.43243243243242
0,18,61,39,147.17948717948718
0,19,61,31,191.61290322580646
0,20,61,31,161.93548387096774
0,21,62,34,162.35294117647058
0,22,56,27,196.2962962962963
0,23,67,31,223.8709677419355
0,24,56,21,214.28571428571428
0,25,59,25,228.0
0,26,59,23,178.2608695652174
0,27,65,23,108.69565217391305
1,2,54,40,41.0
1,3,66,42,86.66666666666667
1,4,58,35,61.142857142857146
1,5,61,44,32.72727272727273
1,6,67,35,87.42857142857143
1,7,53,26,113.84615384615384
1,8,62,23,145.2173913043478
1,9,70,20,138.0
1,10,64,19,154.73684210526315
1,11,60,21,92.38095238095238
1,12,60,15,156.0
1,13,58,18,106.66666666666667
1,14,54,16,115.0
1,15,48,13,149.23076923076923
1,16,59,16,127.5
1,17,60,16,120.0
1,18,57,7,134.28571428571428
1,19,68,11,180.0
1,20,53,10,172.0
1,21,53,4,230.0
1,22,59,8,190.0
1,23,74,13,192.30769230769232
1,24,56,3,193.33333333333334
1,25,51,2,200.0
1,26,66,6,213.33333333333334
1,27,60,1,60.0
2,3,66,47,61.702127659574465
2,4,71,51,63.13725490196079
2,5,67,55,32.36363636363637
2,6,58,27,86.66666666666667
2,7,53,28,141.42857142857142
2,8,52,16,140.0
2,9,48,22,147.27272727272728
2,10,51,22,138.1818181818182
2,11,64,35,80.57142857142857
2,12,62,27,123.70370370370371
2,13,53,20,106.0
2,14,78,36,85.55555555555556
2,15,66,20,58.0
2,16,62,21,107.61904761904762
2,17,66,19,89.47368421052632
2,18,70,19,106.3157894736842
2,19,66,22,158.1818181818182
2,20,72,16,150.0
2,21,50,11,140.0
2,22,72,10,140.0
2,23,70,8,190.0
2,24,63,9,197.77777777777777
2,25,54,12,170.0
2,26,68,10,156.0
2,27,59,10,80.0
3,4,62,57,43.85964912280702
3,5,52,27,71.85185185185185
3,6,60,53,98.49056603773585
3,7,62,48,123.33333333333333
3,8,54,38,154.73684210526315
3,9,57,39,180.0
3,10,68,54,149.62962962962962
3,11,56,45,83.11111111111111
3,12,55,44,103.63636363636364
3,13,65,55,58.54545454545455
3,14,48,42,56.19047619047619
3,15,67,62,40.0
3,16,59,46,56.52173913043478
3,17,64,51,52.15686274509804
3,18,57,32,88.75
3,19,62,35,135.42857142857142
3,20,54,26,133.84615384615384
3,21,65,28,151.42857142857142
3,22,58,26,176.92307692307693
3,23,58,25,170.4
3,24,64,20,194.0
3,25,67,17,158.8235294117647
3,26,50,16,160.0
3,27,58,30,44.0
4,5,60,28,30.0
4,6,60,38,67.36842105263158
4,7,55,28,117.14285714285714
4,8,69,31,174.83870967741936
4,9,59,27,159.25925925925927
4,10,49,22,134.54545454545453
4,11,60,36,46.666666666666664
4,12,61,28,85.71428571428571
4,13,57,29,75.17241379310344
4,14,55,28,44.285714285714285
4,15,67,30,70.66666666666667
4,16,62,29,108.27586206896552
4,17,50,15,108.0
4,18,56,15,86.66666666666667
4,19,64,17,156.47058823529412
4,20,63,19,116.84210526315789
4,21,66,14,128.57142857142858
4,22,56,7,157.14285714285714
4,23,57,14,145.71428571428572
4,24,61,6,160.0
4,25,52,3,166.66666666666666
4,26,60,10,136.0
4,27,53,15,76.0
5,6,57,16,35.0
5,7,54,9,73.33333333333333
5,8,52,7,111.42857142857143
5,9,68,9,131.11111111111111
5,10,59,12,113.33333333333333
5,11,69,14,82.85714285714286
5,12,52,3,60.0
5,13,53,2,80.0
5,14,61,3,86.66666666666667
5,15,59,4,150.0
5,16,56,6,146.66666666666666
5,17,60,1,300.0
5,18,58,1,100.0
5,19,60,3,166.66666666666666
5,20,45,1,140.0
5,21,70,3,113.33333333333333
5,22,70,4,140.0
5,23,63,1,100.0
5,24,68,1,140.0
5,25,57,1,220.0
5,26,57,1,140.0
5,27,59,1,100.0
6,7,66,52,66.92307692307692
6,8,63,46,66.08695652173913
6,9,45,33,63.63636363636363
6,10,58,43,61.86046511627907
6,11,49,36,48.888888888888886
6,12,66,42,84.76190476190476
6,13,54,25,112.8
6,14,55,18,120.0
6,15,66,14,151.42857142857142
6,16,62,11,172.72727272727272
6,17,61,9,131.11111111111111
6,18,54,25,122.4
6,19,62,29,134.48275862068965
6,20,65,33,85.45454545454545
6,21,68,33,72.12121212121212
6,22,60,24,103.33333333333333
6,23,66,27,120.74074074074075
6,24,50,20,114.0
6,25,64,14,125.71428571428571
6,26,65,21,73.33333333333333
6,27,61,15,76.0
7,8,71,54,25.925925925925927
7,9,59,41,39.51219512195122
7,10,56,29,48.96551724137931
7,11,61,31,69.03225806451613
7,12,57,24,106.66666666666667
7,13,55,8,145.0
7,14,51,5,164.0
7,15,58,0,0.0
7,16,64,5,180.0
7,17,50,5,212.0
7,18,62,23,145.2173913043478
7,19,58,15,161.33333333333334
7,20,63,21,126.66666666666667
7,21,65,17,140.0
7,22,68,9,108.88888888888889
7,23,59,11,143.63636363636363
7,24,74,10,144.0
7,25,56,5,148.0
7,26,61,8,75.0
7,27,66,4,160.0
8,9,49,34,24.705882352941178
8,10,47,23,65.21739130434783
8,11,53,16,145.0
8,12,45,8,115.0
8,13,56,5,164.0
8,14,68,6,226.66666666666666
8,15,59,2,360.0
8,16,60,3,220.0
8,17,54,2,260.0
8,18,60,16,135.0
8,19,69,15,145.33333333333334
8,20,61,21,111.42857142857143
8,21,46,4,80.0
8,22,78,10,72.0
8,23,71,12,150.0
8,24,58,5,108.0
8,25,62,3,180.0
8,26,51,3,46.666666666666664
8,27,58,0,0.0
9,10,60,19,47.36842105263158
9,11,64,11,140.0
9,12,69,28,94.28571428571429
9,13,59,6,160.0
9,14,68,5,228.0
9,15,59,3,220.0
9,16,60,2,300.0
9,17,63,2,240.0
9,18,62,15,140.0
9,19,67,18,120.0
9,20,59,10,64.0
9,21,55,10,64.0
9,22,73,17,38.8235294117647
9,23,63,6,106.66666666666667
9,24,60,7,111.42857142857143
9,25,49,6,120.0
9,26,60,13,32.30769230769231
9,27,57,0,0.0
10,11,54,23,117.3913043478261
10,12,70,51,56.86274509803921
10,13,51,18,122.22222222222223
10,14,67,11,154.54545454545453
10,15,60,6,166.66666666666666
10,16,62,6,186.66666666666666
10,17,65,7,214.28571428571428
10,18,67,39,76.41025641025641
10,19,61,42,109.52380952380952
10,20,62,51,50.588235294117645
10,21,53,44,34.54545454545455
10,22,64,46,47.82608695652174
10,23,50,34,98.82352941176471
10,24,61,34,89.41176470588235
10,25,56,37,101.08108108108108
10,26,64,33,30.90909090909091
10,27,62,15,150.66666666666666
11,12,63,20,52.0
11,13,67,29,35.172413793103445
11,14,56,11,89.0909090909091
11,15,53,10,104.0
11,16,64,14,114.28571428571429
11,17,52,10,88.0
11,18,62,22,43.63636363636363
11,19,72,11,114.54545454545455
11,20,62,10,56.0
11,21,69,13,78.46153846153847
11,22,60,7,122.85714285714286
11,23,66,4,120.0
11,24,68,10,120.0
11,25,61,5,116.0
11,26,61,6,113.33333333333333
11,27,43,13,29.23076923076923
12,13,68,21,71.42857142857143
12,14,59,5,100.0
12,15,70,3,126.66666666666667
12,16,58,3,140.0
12,17,71,2,160.0
12,18,48,28,54.285714285714285
12,19,51,31,61.29032258064516
12,20,61,43,34.883720930232556
12,21,64,41,60.97560975609756
12,22,65,33,70.9090909090909
12,23,63,26,64.61538461538461
12,24,58,26,92.3076923076923
12,25,60,26,95.38461538461539
12,26,56,19,81.05263157894737
12,27,63,8,90.0
13,14,72,49,28.979591836734695
13,15,64,26,75.38461538461539
13,16,51,14,62.857142857142854
13,17,50,17,45.88235294117647
13,18,53,22,36.36363636363637
13,19,75,21,69.52380952380952
13,20,73,14,91.42857142857143
13,21,61,7,128.57142857142858
13,22,61,4,130.0
13,23,54,6,60.0
13,24,56,7,105.71428571428571
13,25,60,3,73.33333333333333
13,26,55,0,0.0
13,27,54,30,22.666666666666668
14,15,63,39,46.666666666666664
14,16,60,38,36.8421052631579
14,17,59,42,28.571428571428573
14,18,60,6,26.666666666666668
14,19,54,1,20.0
14,20,57,0,0.0
14,21,53,0,0.0
14,22,57,0,0.0
14,23,59,1,180.0
14,24,61,0,0.0
14,25,72,0,0.0
14,26,60,0,0.0
14,27,73,24,51.666666666666664
15,16,61,48,23.333333333333332
15,17,60,43,25.58139534883721
15,18,56,1,100.0
15,19,59,0,0.0
15,20,64,0,0.0
15,21,59,0,0.0
15,22,60,0,0.0
15,23,63,0,0.0
15,24,49,0,0.0
15,25,62,0,0.0
15,26,68,0,0.0
15,27,62,10,60.0
16,17,66,56,26.428571428571427
16,18,61,1,140.0
16,19,56,0,0.0
16,20,64,0,0.0
16,21,50,0,0.0
16,22,53,0,0.0
16,23,56,0,0.0
16,24,48,0,0.0
16,25,63,0,0.0
16,26,61,0,0.0
16,27,74,12,66.66666666666667
17,18,61,2,80.0
17,19,66,1,100.0
17,20,56,0,0.0
17,21,56,0,0.0
17,22,67,0,0.0
17,23,54,0,0.0
17,24,64,0,0.0
17,25,57,0,0.0
17,26,69,0,0.0
17,27,69,15,52.0
18,19,65,34,28.235294117647058
18,20,60,25,66.4
18,21,59,28,94.28571428571429
18,22,56,17,78.82352941176471
18,23,53,23,58.26086956521739
18,24,62,27,65.92592592592592
18,25,63,27,55.55555555555556
18,26,60,14,105.71428571428571
18,27,58,9,33.333333333333336
19,20,53,32,60.0
19,21,72,42,85.71428571428571
19,22,68,32,82.5
19,23,54,37,41.62162162162162
19,24,52,38,44.21052631578947
19,25,53,33,26.060606060606062
19,26,50,18,88.88888888888889
19,27,59,1,220.0
20,21,59,48,30.833333333333332
20,22,53,38,32.63157894736842
20,23,58,41,39.51219512195122
20,24,49,32,50.0
20,25,57,29,82.06896551724138
20,26,57,25,80.8
20,27,56,2,140.0
21,22,59,42,35.23809523809524
21,23,51,27,46.666666666666664
21,24,70,32,52.5
21,25,49,16,75.0
21,26,53,24,46.666666666666664
21,27,73,3,86.66666666666667
22,23,48,26,41.53846153846154
22,24,63,29,44.827586206896555
22,25,62,27,52.592592592592595
22,26,55,43,22.790697674418606
22,27,55,0,0.0
23,24,60,50,30.4
23,25,52,41,41.46341463414634
23,26,57,15,94.66666666666667
23,27,64,3,100.0
24,25,56,51,21.568627450980394
24,26,56,15,52.0
24,27,58,0,0.0
25,26,60,16,70.0
25,27,57,0,0.0
26,27,54,0,0.0
