source,target,generated,success,delays
0,1,89,89,21.348314606741575
0,2,105,105,22.285714285714285
0,3,94,91,38.9010989010989
0,4,105,103,55.33980582524272
0,5,92,91,42.417582417582416
0,6,97,95,41.05263157894737
0,7,105,103,36.310679611650485
0,8,97,92,48.26086956521739
0,9,94,89,69.43820224719101
0,10,102,95,75.15789473684211
0,11,110,102,87.84313725490196
0,12,99,89,95.95505617977528
0,13,113,99,100.4040404040404
1,2,96,96,20.833333333333332
1,3,88,78,43.58974358974359
1,4,97,82,48.292682926829265
1,5,103,85,56.705882352941174
1,6,90,71,74.64788732394366
1,7,122,92,48.69565217391305
1,8,97,65,83.38461538461539
1,9,94,57,82.45614035087719
1,10,105,65,82.15384615384616
1,11,107,72,96.11111111111111
1,12,95,46,98.26086956521739
1,13,104,53,106.79245283018868
2,3,105,58,50.3448275862069
2,4,99,41,66.82926829268293
2,5,94,44,58.18181818181818
2,6,99,37,68.64864864864865
2,7,97,33,57.57575757575758
2,8,113,29,75.17241379310344
2,9,96,22,70.9090909090909
2,10,103,24,68.33333333333333
2,11,104,22,96.36363636363636
2,12,95,15,100.0
2,13,105,18,100.0
3,4,94,74,40.54054054054054
3,5,96,75,55.733333333333334
3,6,113,83,51.80722891566265
3,7,102,60,84.66666666666667
3,8,94,66,68.48484848484848
3,9,113,66,76.36363636363636
3,10,94,44,46.36363636363637
3,11,110,52,69.23076923076923
3,12,101,44,85.45454545454545
3,13,110,39,64.1025641025641
4,5,109,83,48.433734939759034
4,6,89,76,33.1578947368421
4,7,105,65,43.38461538461539
4,8,88,56,65.0
4,9,102,61,60.65573770491803
4,10,97,49,66.53061224489795
4,11,108,46,73.04347826086956
4,12,100,37,63.24324324324324
4,13,97,29,71.03448275862068
5,6,98,29,57.241379310344826
5,7,94,51,73.33333333333333
5,8,91,69,51.88405797101449
5,9,96,75,38.666666666666664
5,10,104,64,67.5
5,11,108,69,57.10144927536232
5,12,103,56,48.57142857142857
5,13,100,53,43.39622641509434
6,7,98,54,35.55555555555556
6,8,93,26,46.15384615384615
6,9,106,19,70.52631578947368
6,10,102,23,80.8695652173913
6,11,100,16,72.5
6,12,103,16,97.5
6,13,114,11,81.81818181818181
7,8,102,40,44.0
7,9,92,24,36.666666666666664
7,10,105,29,75.17241379310344
7,11,102,28,68.57142857142857
7,12,110,21,65.71428571428571
7,13,99,13,63.07692307692308
8,9,115,81,36.79012345679013
8,10,97,79,41.265822784810126
8,11,99,84,54.285714285714285
8,12,98,84,40.0
8,13,103,85,25.647058823529413
9,10,102,60,67.33333333333333
9,11,92,44,57.27272727272727
9,12,106,52,47.69230769230769
9,13,98,43,46.97674418604651
10,11,102,89,42.47191011235955
10,12,90,75,29.6
10,13,101,83,22.40963855421687
11,12,90,89,23.59550561797753
11,13,95,89,38.87640449438202
12,13,97,96,20.0
