source,target,generated,success,delays
0,1,89,89,29.43820224719101
0,2,105,105,30.666666666666668
0,3,94,92,55.21739130434783
0,4,105,103,68.15533980582525
0,5,92,91,47.69230769230769
0,6,97,95,53.68421052631579
0,7,105,103,46.019417475728154
0,8,97,92,53.47826086956522
0,9,94,88,84.54545454545455
0,10,102,95,89.89473684210526
0,11,110,100,106.0
0,12,99,88,109.0909090909091
0,13,113,97,112.78350515463917
1,2,96,96,22.5
1,3,88,78,42.56410256410256
1,4,97,84,52.857142857142854
1,5,103,81,51.111111111111114
1,6,90,70,80.0
1,7,122,95,50.73684210526316
1,8,97,68,97.05882352941177
1,9,94,60,100.0
1,10,105,64,98.125
1,11,107,71,112.3943661971831
1,12,95,45,115.11111111111111
1,13,104,50,115.2
2,3,105,58,50.3448275862069
2,4,99,46,79.1304347826087
2,5,94,47,57.4468085106383
2,6,99,39,81.53846153846153
2,7,97,35,73.71428571428571
2,8,113,32,107.5
2,9,96,24,85.0
2,10,103,23,87.82608695652173
2,11,104,22,103.63636363636364
2,12,95,15,108.0
2,13,105,17,109.41176470588235
3,4,94,79,40.75949367088607
3,5,96,82,55.609756097560975
3,6,113,87,52.64367816091954
3,7,102,72,76.11111111111111
3,8,94,68,85.29411764705883
3,9,113,66,90.9090909090909
3,10,94,43,42.325581395348834
3,11,110,54,69.62962962962963
3,12,101,44,89.0909090909091
3,13,110,35,78.28571428571429
4,5,109,82,40.97560975609756
4,6,89,75,34.93333333333333
4,7,105,65,48.92307692307692
4,8,88,59,66.10169491525424
4,9,102,63,50.476190476190474
4,10,97,55,75.27272727272727
4,11,108,58,88.96551724137932
4,12,100,39,86.66666666666667
4,13,97,35,79.42857142857143
5,6,98,39,66.15384615384616
5,7,94,52,70.76923076923077
5,8,91,70,54.285714285714285
5,9,96,79,39.24050632911393
5,10,104,68,82.3529411764706
5,11,108,65,56.92307692307692
5,12,103,60,54.666666666666664
5,13,100,50,59.2
6,7,98,53,29.056603773584907
6,8,93,25,47.2
6,9,106,16,72.5
6,10,102,16,95.0
6,11,100,14,65.71428571428571
6,12,103,14,91.42857142857143
6,13,114,11,85.45454545454545
7,8,102,47,39.57446808510638
7,9,92,24,33.333333333333336
7,10,105,27,65.92592592592592
7,11,102,29,47.58620689655172
7,12,110,21,79.04761904761905
7,13,99,10,48.0
8,9,115,80,36.5
8,10,97,77,43.896103896103895
8,11,99,81,50.617283950617285
8,12,98,75,41.86666666666667
8,13,103,74,29.72972972972973
9,10,102,54,68.14814814814815
9,11,92,42,56.19047619047619
9,12,106,43,54.41860465116279
9,13,98,32,51.25
10,11,102,89,43.37078651685393
10,12,90,72,42.77777777777778
10,13,101,81,25.925925925925927
11,12,90,83,31.566265060240966
11,13,95,77,47.01298701298701
12,13,97,86,21.86046511627907
