source,target,generated,success,delays
0,1,56,56,20.714285714285715
0,2,57,57,27.017543859649123
0,3,56,56,70.0
0,4,50,50,100.0
0,5,50,50,67.2
0,6,56,54,64.44444444444444
0,7,51,50,26.4
0,8,49,48,70.83333333333333
0,9,68,66,106.06060606060606
0,10,62,62,118.06451612903226
0,11,66,63,115.87301587301587
0,12,64,63,117.77777777777777
0,13,53,52,113.84615384615384
1,2,56,56,20.0
1,3,58,57,45.26315789473684
1,4,64,63,75.23809523809524
1,5,65,63,70.15873015873017
1,6,66,63,104.44444444444444
1,7,58,56,78.57142857142857
1,8,64,58,120.0
1,9,64,59,114.23728813559322
1,10,50,47,81.27659574468085
1,11,60,55,118.9090909090909
1,12,65,57,118.24561403508773
1,13,49,44,117.27272727272727
2,3,67,61,77.70491803278688
2,4,55,51,85.09803921568627
2,5,64,60,66.66666666666667
2,6,66,58,113.10344827586206
2,7,57,49,68.9795918367347
2,8,55,40,119.0
2,9,55,44,90.0
2,10,70,48,117.5
2,11,59,44,122.72727272727273
2,12,67,50,126.4
2,13,58,40,127.0
3,4,67,65,30.46153846153846
3,5,60,57,84.56140350877193
3,6,52,48,65.0
3,7,53,52,103.84615384615384
3,8,66,59,106.10169491525424
3,9,67,62,115.48387096774194
3,10,60,49,57.55102040816327
3,11,61,52,91.53846153846153
3,12,69,60,112.66666666666667
3,13,54,46,82.6086956521739
4,5,57,54,55.55555555555556
4,6,58,58,28.96551724137931
4,7,65,63,69.52380952380952
4,8,55,53,107.54716981132076
4,9,62,59,97.28813559322033
4,10,59,50,109.6
4,11,58,49,117.95918367346938
4,12,66,58,117.24137931034483
4,13,66,55,113.0909090909091
5,6,60,50,92.8
5,7,59,46,101.73913043478261
5,8,60,55,69.45454545454545
5,9,44,43,36.74418604651163
5,10,59,52,105.38461538461539
5,11,45,41,69.7560975609756
5,12,65,56,42.142857142857146
5,13,61,55,68.72727272727273
6,7,64,62,27.741935483870968
6,8,68,55,86.9090909090909
6,9,57,42,115.23809523809524
6,10,64,48,119.16666666666667
6,11,60,42,118.0952380952381
6,12,70,47,132.3404255319149
6,13,57,40,124.0
7,8,59,43,60.0
7,9,66,51,89.80392156862744
7,10,51,36,134.44444444444446
7,11,57,38,94.73684210526316
7,12,66,42,128.57142857142858
7,13,77,51,95.29411764705883
8,9,65,62,23.870967741935484
8,10,58,56,61.42857142857143
8,11,61,60,34.0
8,12,64,62,60.645161290322584
8,13,61,58,22.75862068965517
9,10,59,53,104.52830188679245
9,11,60,55,73.81818181818181
9,12,54,49,76.3265306122449
9,13,60,53,68.30188679245283
10,11,61,56,28.571428571428573
10,12,58,53,60.0
10,13,58,54,24.444444444444443
11,12,61,60,20.0
11,13,56,55,60.0
12,13,59,58,20.0
