source,target,generated,success,avg_delay,variance
0,1,56,56,27.142857142857142,234.69387755102062
0,2,57,57,29.12280701754386,1123.7919359803018
0,3,56,56,88.57142857142857,2840.8163265306143
0,4,50,50,100.8,31.360000000000035
0,5,50,50,80.8,1359.3599999999997
0,6,56,54,77.03703703703704,1754.1838134430723
0,7,51,50,40.0,2960.0
0,8,49,48,95.0,2708.3333333333335
0,9,68,66,114.54545454545455,1097.5206611570256
0,10,62,62,138.06451612903226,2086.5764828303845
0,11,66,64,130.0,1050.0
0,12,64,63,136.1904761904762,1814.0589569160995
0,13,53,52,136.15384615384616,1985.207100591716
1,2,56,56,20.0,0.0
1,3,58,57,41.75438596491228,2249.5537088334854
1,4,64,63,72.06349206349206,590.9800957420002
1,5,65,61,67.8688524590164,567.5893576995431
1,6,66,63,110.7936507936508,975.5605946082131
1,7,58,56,87.14285714285714,1720.4081632653053
1,8,64,57,135.08771929824562,565.3431825176973
1,9,64,60,126.0,2230.6666666666665
1,10,50,47,82.12765957446808,2438.0262562245352
1,11,60,56,128.57142857142858,955.1020408163266
1,12,65,58,133.10344827586206,1883.4720570749098
1,13,49,44,130.0,1390.909090909091
2,3,67,62,76.12903225806451,1623.7252861602508
2,4,55,52,93.84615384615384,1931.3609467455622
2,5,64,59,56.610169491525426,5168.170066072965
2,6,66,59,114.91525423728814,1241.9419706980752
2,7,57,50,76.0,1984.0
2,8,55,40,131.0,2199.0
2,9,55,46,102.6086956521739,3993.194706994327
2,10,70,53,123.39622641509433,1294.1260234959054
2,11,59,46,135.65217391304347,1824.5746691871461
2,12,67,52,130.76923076923077,6376.331360946743
2,13,58,41,143.90243902439025,3028.673408685306
3,4,67,64,20.0,0.0
3,5,60,57,93.6842105263158,3244.321329639889
3,6,52,49,68.9795918367347,931.6118284048313
3,7,53,51,103.92156862745098,141.48404459823143
3,8,66,58,116.55172413793103,719.143876337693
3,9,67,61,119.01639344262296,713.7866165009403
3,10,60,49,60.0,5616.326530612245
3,11,61,55,100.0,2560.0
3,12,69,63,113.96825396825396,1430.2847064751816
3,13,54,48,91.66666666666667,2930.5555555555566
4,5,57,54,37.77777777777778,2587.6543209876513
4,6,58,58,32.41379310344828,2107.96670630202
4,7,65,64,77.5,1993.75
4,8,55,53,112.0754716981132,578.7112851548595
4,9,62,60,94.0,2497.3333333333335
4,10,59,53,103.77358490566037,4000.854396582414
4,11,58,51,116.47058823529412,701.2687427912341
4,12,66,57,107.01754385964912,2813.911972914743
4,13,66,59,129.15254237288136,1455.2140189600684
5,6,60,49,84.48979591836735,1555.3519366930436
5,7,59,50,107.2,236.1600000000001
5,8,60,56,70.0,414.2857142857143
5,9,44,44,30.90909090909091,1626.4462809917359
5,10,59,53,107.54716981132076,426.05909576361654
5,11,45,41,67.8048780487805,251.27900059488402
5,12,65,58,54.48275862068966,3610.9393579072575
5,13,61,56,77.14285714285714,848.9795918367346
6,7,64,61,31.80327868852459,2011.502284332168
6,8,68,53,81.88679245283019,2147.383410466359
6,9,57,46,130.43478260869566,3351.984877126655
6,10,64,48,125.83333333333333,2099.3055555555534
6,11,60,46,128.69565217391303,1715.689981096408
6,12,70,44,139.0909090909091,690.0826446280995
6,13,57,38,135.78947368421052,3182.2714681440457
7,8,59,45,44.888888888888886,4073.8765432098753
7,9,66,48,88.33333333333333,2463.88888888889
7,10,51,34,141.1764705882353,3245.674740484428
7,11,57,40,101.0,3959.0
7,12,66,42,134.28571428571428,2481.6326530612246
7,13,77,53,110.56603773584905,4658.170167319332
8,9,65,63,20.0,0.0
8,10,58,56,65.71428571428571,424.4897959183673
8,11,61,60,25.333333333333332,398.22222222222234
8,12,64,60,60.0,0.0
8,13,61,60,26.666666666666668,648.888888888889
9,10,59,51,109.41176470588235,789.8500576701273
9,11,60,54,73.33333333333333,1007.4074074074081
9,12,54,47,79.57446808510639,399.81892258940724
9,13,60,50,73.6,807.0399999999993
10,11,61,57,28.42105263157895,602.7700831024936
10,12,58,55,63.63636363636363,714.0495867768585
10,13,58,56,32.142857142857146,1252.5510204081627
11,12,61,61,21.311475409836067,103.19806503628095
11,13,56,55,60.0,0.0
12,13,59,58,20.0,0.0
