source,target,delays
0,1,240.0
0,2,340.2105263157895
0,3,521.5
0,4,664.72
0,5,782.4
0,6,768.1454545454546
0,7,580.0
0,8,789.0612244897959
0,9,991.0
0,10,1011.2494623655914
0,11,944.001923076923
0,12,1029.2123015873017
0,13,964.6108597285067
1,2,141.64285714285717
1,3,298.2068965517241
1,4,448.79265873015873
1,5,589.6607142857143
1,6,667.8028846153845
1,7,783.0728545501686
1,8,992.9016393442623
1,9,871.4482206861239
1,10,833.1199999999999
1,11,987.2524780683443
1,12,1040.6203754417334
1,13,994.8314155449414
2,3,520.3232134780643
2,4,621.216576016576
2,5,450.8969376663057
2,6,825.0004480286738
2,7,932.3432900432902
2,8,948.5173453996983
2,9,752.5991064059878
2,10,1013.6444316877153
2,11,993.2980535630264
2,12,906.8490143369175
2,13,976.9493630059667
3,4,167.6060118985492
3,5,441.60140268848625
3,6,498.9990780141844
3,7,628.9245863570392
3,8,752.3393162393163
3,9,698.2541418780224
3,10,511.4408866995074
3,11,705.6261343012704
3,12,802.7200361827228
3,13,707.1851851851852
4,5,251.65162907268171
4,6,343.78410203979496
4,7,555.4711656122263
4,8,641.3818181818182
4,9,529.8817204301075
4,10,679.7642413243141
4,11,737.6353054353054
4,12,689.2194413113768
4,13,736.43778998779
5,6,600.6278879015721
5,7,726.9576062281944
5,8,482.44102863822326
5,9,260.0
5,10,723.8294010889291
5,11,532.9301318836202
5,12,443.8709677419355
5,13,529.6010928961748
6,7,229.29297820823246
6,8,679.4302769803496
6,9,762.0872432830575
6,10,881.4588507754618
6,11,856.5244019138756
6,12,880.4644367517033
6,13,980.8861723743939
7,8,781.5286567380906
7,9,847.6763074645507
7,10,1024.666886921281
7,11,1065.5391350036602
7,12,1046.4402564269053
7,13,1016.4514913770211
8,9,215.66324244751664
8,10,320.0
8,11,124.0
8,12,224.83870967741936
8,13,126.0
9,10,550.7973381730187
9,11,363.3922958397534
9,12,452.56590266875975
9,13,347.8498511168203
10,11,183.95628415300547
10,12,280.0
10,13,180.68965517241378
11,12,83.16284153005465
11,13,182.61818181818182
12,13,80.0
