source,target,delays
0,1,22.612987012987013
0,2,22.54896331738437
0,3,68.71428571428571
0,4,100.16
0,5,68.8
0,6,67.87070707070708
0,7,41.76
0,8,72.2891156462585
0,9,103.71431611993508
0,10,111.73204026207995
0,11,112.42295482295484
0,12,114.0399385560676
0,13,111.62717394650167
1,2,22.0
1,3,36.72353297035693
1,4,71.23954110112228
1,5,71.70127504553734
1,6,104.06684231069478
1,7,82.34797112850738
1,8,119.6677432916013
1,9,111.612434585644
1,10,90.18118203309692
1,11,115.7917976760082
1,12,117.23393228834797
1,13,114.02516936244967
2,3,79.27184358970968
2,4,81.4534121340844
2,5,49.78677318250051
2,6,108.61999827154094
2,7,82.64678178963894
2,8,119.27878787878788
2,9,90.5953183594521
2,10,124.7009324009324
2,11,125.31919191919192
2,12,113.36069969984229
2,13,128.86421020839626
3,4,31.1457743334609
3,5,78.47493481177692
3,6,75.05735430157262
3,7,104.94594145350447
3,8,109.57842172407508
3,9,114.98125146491091
3,10,56.45360030804775
3,11,87.75079378630987
3,12,110.70825276726916
3,13,92.69270563024224
4,5,50.36239316239316
4,6,27.16089249261477
4,7,71.26651053864168
4,8,105.12495235691297
4,9,88.47756448019017
4,10,102.73481896121862
4,11,114.08791104230777
4,12,107.75457620411908
4,13,116.05228124967877
5,6,87.4862864120007
5,7,106.69728021006918
5,8,67.8626010326278
5,9,31.079383086189665
5,10,106.17788814810092
5,11,70.60365561138765
5,12,48.61694770985667
5,13,71.17398273202934
6,7,25.34349080595365
6,8,84.48926652361766
6,9,113.61697489502367
6,10,125.53178530194859
6,11,119.23073179913054
6,12,132.12385889780893
6,13,119.37948717948719
7,8,47.393240539552096
7,9,85.3136970921254
7,10,127.02769177846577
7,11,97.64142526859786
7,12,120.29764561679455
7,13,96.78623093681918
8,9,29.056225337386188
8,10,63.514389421830444
8,11,32.01322589608225
8,12,60.12903225806451
8,13,21.760763685953634
9,10,104.29752841753691
9,11,74.50075900245392
9,12,80.98448374294107
9,13,68.7932154212519
10,11,26.051127819548874
10,12,60.71428571428571
10,13,24.949384956644487
11,12,21.053551912568306
11,13,60.0
12,13,21.263157894736842
