source,target,delays
0,1,22.04733044733045
0,2,21.85974025974026
0,3,33.92467532467533
0,4,52.27102040816326
0,5,35.040000000000006
0,6,34.38114478114478
0,7,32.084897959183664
0,8,41.31292517006803
0,9,61.42059754702424
0,10,67.69267448843317
0,11,74.06393319941706
0,12,72.89617486338798
0,13,77.33010127127775
1,2,21.857142857142854
1,3,29.978221415607987
1,4,40.21481033802557
1,5,41.5949562602515
1,6,57.06424752167745
1,7,48.45173205550564
1,8,72.5901823524328
1,9,69.71241217798595
1,10,56.14884833534232
1,11,75.33876047083594
1,12,78.35296670238286
1,13,77.28476926481486
2,3,43.93998332870242
2,4,47.669718670076726
2,5,42.1590086545238
2,6,61.601006401006394
2,7,51.82926829268293
2,8,75.53496353496352
2,9,61.16687370600414
2,10,75.92338036387284
2,11,82.74440572977159
2,12,80.71821742875332
2,13,89.35730455730456
3,4,35.86324577062282
3,5,44.153281240073696
3,6,34.58057521626783
3,7,67.61117483811286
3,8,66.98459507417552
3,9,72.09844024545184
3,10,43.47434474252236
3,11,55.56167129201357
3,12,72.33090909090909
3,13,59.142969767360015
4,5,39.31187859759289
4,6,32.010337810337816
4,7,36.13217606623763
4,8,62.42940977809563
4,9,46.213624208509124
4,10,64.02175157288843
4,11,69.1511199601792
4,12,66.01763883175649
4,13,72.43581188997338
5,6,44.8949915332894
5,7,68.81114072984649
5,8,40.98814987964056
5,9,36.2311087286697
5,10,64.3279015156906
5,11,46.26884069546608
5,12,49.796774452736905
5,13,41.29775766716943
6,7,30.0455415727648
6,8,45.00581609394724
6,9,58.67327490875878
6,10,76.6015503875969
6,11,76.00493804441172
6,12,82.67704784777956
6,13,70.6677441077441
7,8,42.75311355311355
7,9,43.63414078053229
7,10,75.09097968936679
7,11,67.71951447245564
7,12,71.36507936507937
7,13,58.327999051683264
8,9,35.63940650138897
8,10,38.550191570881225
8,11,46.93785310734463
8,12,32.57318669761911
8,13,23.112409896746545
9,10,63.053497864261985
9,11,48.58576867701167
9,12,52.66704889313585
9,13,38.30195015825892
10,11,34.15288220551379
10,12,25.861896689503443
10,13,23.265923429262813
11,12,22.184134162426982
11,13,33.63792207792208
12,13,20.837347606303897
