source,target,delays
0,1,240.0
0,2,340.42481203007515
0,3,525.8571428571429
0,4,668.88
0,5,782.8799999999999
0,6,777.7454545454545
0,7,587.28
0,8,815.5918367346937
0,9,1014.2352941176471
0,10,1017.2638815441566
0,11,953.7125
0,12,1036.375
0,13,963.9502262443439
1,2,149.0
1,3,276.68965517241384
1,4,429.8125
1,5,611.996095750128
1,6,648.5009615384615
1,7,816.9401088929219
1,8,1039.3781420765029
1,9,894.352534562212
1,10,789.04
1,11,973.1530550514217
1,12,1034.2603812545644
1,13,999.9149659863946
2,3,461.3499601559303
2,4,619.7883371694693
2,5,457.7107974910394
2,6,809.515873015873
2,7,941.172408293461
2,8,948.8015686274509
2,9,730.6045135035146
2,10,980.1430944055944
2,11,971.7261256589751
2,12,895.1455773169482
2,13,981.9840348330914
3,4,168.32604808127195
3,5,450.8480113199422
3,6,446.52673469387753
3,7,581.0580551523948
3,8,767.3529914529914
3,9,705.8059910239015
3,10,516.6833871512637
3,11,709.0090744101633
3,12,806.2152872003619
3,13,718.5925925925926
4,5,260.0062656641604
4,6,247.8374384236453
4,7,431.32930796801764
4,8,625.5272727272728
4,9,539.6738586285916
4,10,691.9564428312159
4,11,751.13125323314
4,12,695.1992077367078
4,13,759.4352913663398
5,6,560.5449206140584
5,7,681.1393976393977
5,8,490.33699590882526
5,9,260.0
5,10,723.4971048310432
5,11,526.9893285009564
5,12,440.193019566367
5,13,531.2295081967213
6,7,197.65284178187406
6,8,568.3400624912722
6,9,706.7708218529528
6,10,782.5446005724694
6,11,747.3824345146379
6,12,788.2245726495727
6,13,823.2978247140288
7,8,651.1215970961888
7,9,751.5870477671001
7,10,930.6134070032576
7,11,913.2442518059855
7,12,911.9068466593529
7,13,909.9132433974603
8,9,213.8048399687744
8,10,320.0
8,11,121.33333333333334
8,12,220.0
8,13,122.0
9,10,547.2568922305765
9,11,360.6646774739303
9,12,444.22455782312926
9,13,349.64331282752335
10,11,180.65573770491804
10,12,280.0
10,13,182.3448275862069
11,12,80.91803278688525
11,13,181.01298701298703
12,13,80.0
