source,target,delays
0,1,30.157303370786515
0,2,31.3058501369181
0,3,50.546859903381645
0,4,68.07660091669229
0,5,47.900069490299096
0,6,53.00636838732264
0,7,44.43736991095582
0,8,60.04046938920551
0,9,80.93814202213655
0,10,88.06222107060879
0,11,101.4644666227974
0,12,103.73256741738275
0,13,105.02761263032014
1,2,23.63086173770725
1,3,41.96268352651914
1,4,52.66420593553877
1,5,48.90192671968178
1,6,75.27256950210915
1,7,62.418302821319365
1,8,100.41560593507569
1,9,92.22640216087414
1,10,92.72688722213647
1,11,104.81075729740765
1,12,107.22720304275302
1,13,112.87514520612766
2,3,49.90859255686842
2,4,65.77891127506034
2,5,53.03618042961866
2,6,79.84568764568765
2,7,65.72733958515525
2,8,97.19347992958151
2,9,80.29909398242056
2,10,108.78720740639781
2,11,109.03162055335967
2,12,109.46370370370371
2,13,120.53732370141037
3,4,36.2757723913842
3,5,54.20059036029295
3,6,50.06984512510063
3,7,80.32614239328423
3,8,79.81823526195784
3,9,86.92469770730641
3,10,47.80917843223292
3,11,65.62641838034173
3,12,85.36407982261642
3,13,73.866339474479
4,5,40.037275086040104
4,6,31.696252037443923
4,7,45.73478696044051
4,8,71.21567752624767
4,9,52.34546787702285
4,10,77.83187079987735
4,11,81.70201453043923
4,12,81.1323087793676
4,13,87.57400257400258
5,6,60.15628328544771
5,7,73.7015688713802
5,8,52.50389151078806
5,9,36.759241974557696
5,10,75.98458534929124
5,11,55.23296507239415
5,12,50.25214881670777
5,13,56.906567624707165
6,7,28.476412970048024
6,8,47.61337077184275
6,9,68.24313764776598
6,10,89.11793682990438
6,11,84.44848484848485
6,12,100.18571428571428
6,13,90.53266733266733
7,8,36.70489348003751
7,9,43.50010351966874
7,10,70.99189761844224
7,11,59.0804973453123
7,12,71.50504289490091
7,13,70.2965811965812
8,9,38.26925797876537
8,10,43.77269484828647
8,11,48.64370613768204
8,12,43.2601894918174
8,13,33.34700258694972
9,10,70.27597704763981
9,11,54.088313807775265
9,12,53.824920081958034
9,13,55.21336301269888
10,11,36.76307213385865
10,12,37.639534905888716
10,13,24.277427657587
11,12,31.054684087632108
11,13,47.865996095407866
12,13,22.453574504737297
