average_provision,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_hops,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys,average_proactive_used_keys_for_n_hop,average_n_hop_proactive_gen_keys,average_n_hop_proactive_used_keys,average_n_hop_proactive_expired_keys,average_fairness
319119,-135775,10212384,141892691,1012273.333,1012273.333,608.7817763,28.81420228,0,0,0,0,0,0,0,0,0.878697053
319119,-135775,10212384,141892663.3,1012273.333,1012273.333,608.7326811,28.81174752,1,10,10,0,0,0,0,0,0.878697053
319119,-135775,10212384,141892662.7,1012273.333,1012273.333,608.732447,28.81173582,1,11.33333333,11.33333333,0,0,0,0,0,0.878697053
319109,-135785,10212384,141889547,1011925.333,1011925.333,608.7409868,28.81188615,0.993798315,90.33333333,91,0.666666667,0,0,0,0,0.878686358
319105,-135789,10212384,141887680,1011934.667,1011934.667,608.6316666,28.80643321,0.98815648,288,291.3333333,3.333333333,0,0,0,0,0.87866629
319103,-135791,10212384,141885881.7,1012117.667,1012117.667,608.4660983,28.7982568,0.993262154,533,536.6666667,3.666666667,0,0,0,0,0.878668865
319103,-135791,10212384,141869927.7,1012132,1012132,608.2740583,28.78859394,0.992882586,847,853,6,0,0,0,0,0.878656051
319066.3333,-135827.6667,10212384,141854486,1011720.333,1011720.333,608.1820468,28.7833986,0.995762208,1252.666667,1258,5.333333333,0,0,0,0,0.878640291
319059.3333,-135834.6667,10212384,141844077.7,1012004.333,1012004.333,607.8662832,28.7678139,0.996316553,1916.666667,1923.666667,7,0,0,0,0,0.878657193
319037.3333,-135856.6667,10212384,141840833.7,1011555.333,1011555.333,607.5565137,28.75179055,0.9971413,2829,2837,8,0,0,0,0,0.878570381
318985.3333,-135908.6667,10212384,141815177.7,1011511.667,1011511.667,606.9650536,28.72193967,0.997561183,4574,4585,11,0,0,0,0,0.878453995
318908.3333,-135985.6667,10212384,141781022.7,1010985.667,1010985.667,606.2638095,28.68569483,0.997236956,6768.666667,6788.333333,19.66666667,0,0,0,0,0.878428887
318478.6667,-136415.3333,10212384,141763666,1011392.333,1011392.333,605.4222391,28.64047731,0.99615022,10513.66667,10553.33333,39.66666667,0,0,0,0,0.877507304
318136.6667,-136757.3333,10212384,141679646.7,1010128,1010128,603.762651,28.55370957,0.99755788,16290.66667,16329.66667,39,0,0,0,0,0.876629896
317616.6667,-137277.3333,10212384,141613941.3,1009354.667,1009354.667,600.9134448,28.40675664,0.997385217,25003,25068.66667,65.66666667,0,0,0,0,0.875568687
316768.6667,-138125.3333,10212384,141048525.3,1002281.667,1002281.667,595.3576433,28.11853559,0.988829283,47873.33333,48414.66667,541,0,0,0,0,0.874006809
315189.3333,-139704.6667,10212384,138635287,973649.3333,973649.3333,583.1217904,27.47876745,0.979592345,106436.6667,108653.6667,2200.333333,0,0,0,0,0.870889691
311989.3333,-142904.6667,10212384,134813868,920322,920322,561.545573,26.34459054,0.974463928,195649,200772.6667,5102.333333,0,0,0,0,0.867266679
306179,-148715,10212384,129349334.3,811529.3333,811529.3333,523.883484,24.36791196,0.973388988,310192.3333,318679,8443.333333,0,0,0,0,0.861935353
296869,-158025,10212384,119497137,559584.6667,559584.6667,436.7617584,19.86989283,0.958730732,493611,514859,21218.66667,0,0,0,0,0.855343162
290083,-164811,10212384,118146000.3,491028,491028,88.40729872,2.710182468,0.855893358,783032,914871,131790,0,0,0,0,0.85089813
