average_provision,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_hops,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys,average_proactive_used_keys_for_n_hop,average_n_hop_proactive_gen_keys,average_n_hop_proactive_used_keys,average_n_hop_proactive_expired_keys,average_fairness
290083,-164811,10212384,118146000.3,491028,491028,88.40729872,2.710182468,0.855893358,783032,914871,131790,0,0,0,0,0.85089813
281964.6667,-172929.3333,10212384,118069929.3,464026,464026,84.78980261,2.619745065,0.739828136,676848,914871,98202,139774.3333,65969.66667,59383.66667,6586,0.855511165
280222,-174672,10212384,118022985.3,456411.3333,456411.3333,79.34804262,2.483701065,0.648646068,593428,914871,86127,235274.3333,110863.6667,99816.66667,11046.33333,0.85556525
279871.3333,-175022.6667,10212384,117977923.3,453752.6667,453752.6667,75.0430047,2.376075117,0.584267882,534529.6667,914871,79963,300343,141616.3333,127062.6667,14551.66667,0.857360901
279655,-175239,10212384,117933434,452884.3333,452884.3333,72.15615431,2.303903858,0.54186726,495738.6667,914871,76475,342626.3333,161766,144593,17171.33333,0.85854161
279557.3333,-175336.6667,10212384,117894532.7,452418.6667,452418.6667,70.11433675,2.252858419,0.512502271,468873.3333,914871,74240.33333,371725.6667,175645.3333,156703,18940.33333,0.859303472
279392,-175502,10212384,117858975.7,452050.3333,452050.3333,68.8277385,2.220693462,0.493059359,451085.3333,914871,72586.66667,391170.6667,185005,164777,20225.66667,0.859834932
279216.3333,-175677.6667,10212384,117838518,452175,452175,67.9212378,2.198030945,0.479679339,438844,914871,71771.33333,404227.6667,191291.3333,170123.6667,21165.66667,0.86024115
279178,-175716,10212384,117815522,452199.3333,452199.3333,67.26978052,2.181744513,0.470408819,430362.6667,914871,71178,413309,195713.3333,173928.6667,21783.33333,0.860611993
279073,-175821,10212384,117800162,452257.6667,452257.6667,66.83494871,2.170873718,0.464006556,424505.3333,914871,70688,419659.6667,198836.6667,176503.3333,22331.66667,0.860841991
278965.3333,-175928.6667,10212384,117786165,452146,452146,66.54813907,2.163703477,0.459380049,420272.6667,914871,70235.33333,424346.3333,201130.6667,178456.6667,22672.66667,0.860938079
278853.3333,-176040.6667,10212384,117776141,452132.6667,452132.6667,66.34222951,2.158555738,0.455999508,417180,914871,69848,427826,202866,179818,23046.66667,0.861310253
278854.3333,-176039.6667,10212384,117768600.3,452026.6667,452026.6667,66.18020673,2.154505168,0.453540031,414930,914871,69544,430380.3333,204144.3333,180898.3333,23244.66667,0.8613254
278853,-176041,10212384,117762810,452004,452004,66.05880132,2.151470033,0.45183362,413369,914871,69305.33333,432180,205056,181594,23460.66667,0.861547658
278824.3333,-176069.6667,10212384,117757407.3,452006,452006,65.98776692,2.149694173,0.450699237,412331.3333,914871,69186.66667,433336.3333,205656.3333,182073.6667,23581.33333,0.861499201
278818,-176076,10212384,117753958.3,451871,451871,65.94908349,2.148727087,0.449942823,411639.3333,914871,68934.66667,434280.3333,206141.6667,182442,23698.33333,0.861618437
278811,-176083,10212384,117751915.3,451952,451952,65.89453834,2.147363459,0.449238052,410994.6667,914871,68929.33333,434930.3333,206474,182688,23784.66667,0.861716786
278821.6667,-176072.3333,10212384,117750837.7,451941.3333,451941.3333,65.8565465,2.146413663,0.4487239,410524.3333,914871,68857.66667,435472.3333,206751.6667,182904.6667,23845.66667,0.861788154
278797,-176097,10212384,117749830,451836,451836,65.85766485,2.146441621,0.448500913,410320.3333,914871,68736,435798,206917.3333,183054,23862,0.861836017
278788.6667,-176105.3333,10212384,117749944,451837,451837,65.85772383,2.146443096,0.448447714,410271.6667,914871,68728,435854.6667,206948.3333,183076,23871,0.861804598
278788.6667,-176105.3333,10212384,117749944,451837,451837,65.85772383,2.146443096,0.448447714,410271.6667,914871,68728,435854.6667,206948.3333,183076,23871,0.861804598
