average_reward,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys
8989.6,-13687.4,249027.6,2550774.8,27289.6,27289.6,506.83662889149906,0.0,0.0,0.0,0.0
8977.0,-13700.0,249027.6,2550147.8,27349.6,27349.6,505.3881415103255,1.0,48.4,48.4,0.0
8976.8,-13700.2,249027.6,2550451.0,27139.8,27139.8,505.3868803517638,1.0,139.8,139.8,0.0
8967.2,-13709.8,249027.6,2553473.0,27386.0,27386.0,500.0557265810988,1.0,585.4,585.4,0.0
8960.8,-13716.2,249027.6,2546892.2,27231.4,27231.4,492.4284687202565,1.0,1294.2,1294.2,0.0
8930.2,-13746.8,249027.6,2543926.2,27438.6,27438.6,483.0217200954245,1.0,2225.0,2225.0,0.0
8893.8,-13783.2,249027.6,2535591.8,26963.2,26963.2,474.0481876861539,1.0,3307.4,3307.4,0.0
8871.4,-13805.6,249027.6,2523388.0,26481.2,26481.2,464.02856948901143,0.9999636759898293,4473.2,4473.4,0.0
8851.0,-13826.0,249027.6,2513755.2,26572.8,26572.8,450.5380087013434,0.9998887138051467,5824.4,5825.0,0.0
8807.6,-13869.4,249027.6,2506614.4,26422.2,26422.2,436.9281357774637,0.9990178415550351,7334.2,7340.8,4.4
8756.0,-13921.0,249027.6,2471375.2,25938.6,25938.6,420.5198439292424,0.9968289186524458,9054.0,9083.4,26.8
8698.8,-13978.2,249027.6,2450720.4,25653.0,25653.0,405.1851223918907,0.9945589204743553,10651.6,10712.0,58.4
8693.0,-13984.0,249027.6,2440332.0,25217.0,25217.0,386.7411311170338,0.9940425416730806,12392.0,12468.0,74.8
8658.8,-14018.2,249027.6,2421580.0,24824.8,24824.8,369.79026808545996,0.9900562399832171,13991.4,14135.4,134.6
8601.2,-14075.8,249027.6,2381749.6,24035.2,24035.2,352.580920024182,0.9872786600236102,15826.0,16034.0,197.8
8572.2,-14104.8,249027.6,2349184.4,23251.8,23251.8,332.4149019287627,0.9851947457672964,17671.4,17941.8,257.6
8525.0,-14152.0,249027.6,2318405.0,22188.2,22188.2,310.28903092215614,0.9823209697311327,19675.4,20031.0,334.8
8518.4,-14158.6,249027.6,2245328.4,19471.2,19471.2,278.54091858434583,0.9737377525460366,22360.8,22964.2,578.6
8484.8,-14192.2,249027.6,2101147.4,15919.2,15919.2,235.39788412704897,0.9607782945212648,25877.4,26932.8,947.2
8473.6,-14203.4,249027.6,1933638.4,9386.2,9386.2,180.98558216607805,0.9388362228862617,29344.6,31256.4,1782.4
8389.6,-14287.4,249027.6,1927185.0,6946.4,6946.4,122.85111853110428,0.8901421376047912,30707.2,34497.0,3670.2
