average_reward,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys
6222.6,-1289.4,249027.6,1995492.8,12178.8,12178.8,142.65427355872026,0.7349768771027732,25354.8,34497.0,8902.6
6106.6,-1405.4,249027.6,1987783.6,11158.6,11158.6,142.14155138445207,0.6612812293733649,23799.0,35991.0,7882.4
5975.6,-1536.4,249027.6,1975277.4,9972.8,9972.8,139.094162608414,0.5568296704452068,21173.4,38028.8,6696.6
5870.4,-1641.6,249027.6,1957996.2,8891.2,8891.2,131.95185536839523,0.4407197129165777,17769.8,40324.4,5615.0
5825.6,-1686.4,249027.6,1947597.0,8256.4,8256.4,124.52800195996352,0.35648096750586566,14975.0,42012.8,4980.2
5793.6,-1718.4,249027.6,1937867.0,7833.4,7833.4,117.52595038665467,0.2925342983865339,12682.4,43366.8,4557.2
5788.2,-1723.8,249027.6,1933005.8,7584.4,7584.4,112.72211488976227,0.25367489804891924,11210.2,44205.2,4308.2
5796.8,-1715.2,249027.6,1927088.8,7360.0,7360.0,108.50605511544231,0.2240374522287884,10055.2,44886.2,4083.8
5796.0,-1716.0,249027.6,1923157.8,7233.8,7233.8,105.37509105989211,0.20271852385401554,9199.2,45381.6,3957.6
5797.6,-1714.4,249027.6,1920592.2,7162.4,7162.4,103.2466065869779,0.1893670810522376,8650.2,45680.4,3886.2
5784.6,-1727.4,249027.6,1919581.6,7134.6,7134.6,102.15002431941292,0.18057374352223224,8283.8,45875.4,3858.4
5788.6,-1723.4,249027.6,1918596.6,7124.4,7124.4,100.8906590342363,0.1740519439934844,8007.8,46009.4,3848.2
5789.0,-1723.0,249027.6,1917936.0,7128.8,7128.8,99.9854924894936,0.16970448852281958,7822.6,46096.4,3852.6
5780.6,-1731.4,249027.6,1917735.6,7121.8,7121.8,99.80837552496537,0.16724571648759107,7718.0,46149.2,3845.6
5783.4,-1728.6,249027.6,1917783.8,7160.0,7160.0,99.2162457942603,0.16549025851996474,7642.2,46180.2,3883.8
5783.0,-1729.0,249027.6,1917446.6,7148.4,7148.4,99.21014438392193,0.16515739473789273,7629.2,46194.0,3872.2
5783.2,-1728.8,249027.6,1917567.4,7140.0,7140.0,99.24517921920682,0.16477143866249472,7613.8,46208.6,3863.8
5778.8,-1733.2,249027.6,1917509.4,7140.8,7140.8,99.25951767070886,0.16476095700687635,7611.2,46196.0,3864.6
5781.0,-1731.0,249027.6,1917635.4,7148.0,7148.0,99.11339205661014,0.16469732591905448,7610.0,46206.8,3871.8
5779.4,-1732.6,249027.6,1917616.0,7148.0,7148.0,99.17983631425004,0.16481337944261337,7614.6,46202.2,3871.8
5778.8,-1733.2,249027.6,1917627.6,7145.8,7145.8,99.17198421147889,0.16467909780541665,7608.8,46204.6,3869.6
