average_reward,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys
3713.2,-47.8,223031.8,3825810.6,105033.2,105033.2,543.0813232468349,0.0,0.0,0.0,0.0
3712.8,-48.2,223031.8,3822517.0,104922.6,104922.6,541.6594051880104,0.9349184149184149,12.4,13.2,0.8
3712.8,-48.2,223031.8,3822918.0,104944.6,104944.6,541.4779654055706,0.9387279387279387,13.8,14.6,0.8
3712.0,-49.0,223031.8,3818804.4,104819.2,104819.2,537.2872364942538,0.9404368948674614,94.8,100.8,6.0
3711.2,-49.8,223031.8,3808539.6,104538.8,104538.8,531.5308104253122,0.9646524187240676,237.4,245.8,8.4
3711.6,-49.4,223031.8,3796707.4,104138.8,104138.8,523.945502267015,0.9680811074259497,433.8,448.0,14.2
3712.8,-48.2,223031.8,3776175.6,103584.8,103584.8,514.5885849054335,0.9636078533020737,706.4,733.2,26.8
3713.6,-47.4,223031.8,3764501.4,103214.2,103214.2,501.6138494412348,0.9448579081081787,987.8,1046.2,58.4
3715.2,-45.8,223031.8,3734761.0,102744.2,102744.2,485.5248216292429,0.9216477287289706,1281.8,1394.8,113.0
3715.2,-45.8,223031.8,3704941.6,101880.4,101880.4,470.9878704803678,0.8933217821112409,1581.0,1779.0,198.0
3715.2,-45.8,223031.8,3659354.6,100858.6,100858.6,455.8818345904455,0.8522665958302083,1892.8,2226.0,333.2
3715.2,-45.8,223031.8,3601321.0,99098.8,99098.8,445.1037468954596,0.8285045298596646,2184.4,2644.0,459.6
3715.2,-45.8,223031.8,3516345.4,96585.8,96585.8,429.4735770294901,0.8068871614735572,2626.8,3260.8,634.0
3715.2,-45.8,223031.8,3429706.4,93649.0,93649.0,416.36268447600526,0.76928972089247,3144.8,4101.2,931.4
3715.0,-46.0,223031.8,3342242.0,89682.2,89682.2,402.069198035682,0.7234843245521854,3430.4,4759.0,1302.2
3715.0,-46.0,223031.8,3239052.0,84907.8,84907.8,386.76298663213237,0.7083525878455151,4005.6,5654.6,1619.0
3714.0,-47.0,223031.8,3147823.4,80673.8,80673.8,372.149563227365,0.7087835811415566,4640.6,6551.6,1869.4
3714.0,-47.0,223031.8,3003910.6,75028.8,75028.8,348.89176799030224,0.7126641148550179,5616.0,7905.0,2226.2
3712.6,-48.4,223031.8,2884941.8,68050.2,68050.2,330.4522127454927,0.7146378604727129,6510.8,9155.0,2563.2
3711.6,-49.4,223031.8,2434893.8,50179.0,50179.0,218.73316923860963,0.6925755546297222,9190.4,13282.0,3919.2
3625.0,-136.0,223031.8,2048419.2,12277.6,12277.6,82.02177320967377,0.5288853993131487,9251.4,17493.8,8109.2
