src,dst,hop_count,generated,provisioned,blocked,provision_ratio,total_hops,average_hops,total_distance,average_distance
0,1,1,1043,1043,0,1,1043,1,481866,462
0,2,1,978,978,0,1,978,1,674820,690
0,3,2,1010,1009,1,0.999009901,2184,2.164519326,1285050,1273.587711
0,4,3,975,975,0,1,2929,3.004102564,1593089,1633.937436
0,5,2,1011,1011,0,1,2022,2,1393927,1378.760633
0,6,3,1011,1011,0,1,3242,3.206726014,2036066,2013.912957
0,7,4,1023,1020,3,0.997067449,4636,4.545098039,2859744,2803.670588
0,8,5,958,956,2,0.997912317,5241,5.482217573,3339113,3492.796025
0,9,6,1004,998,6,0.994023904,6345,6.357715431,4076724,4084.893788
0,10,4,1033,1032,1,0.999031946,4860,4.709302326,2758873,2673.32655
0,11,4,1001,1001,0,1,4010,4.005994006,2144633,2142.490509
0,12,5,984,983,1,0.99898374,5076,5.163784334,2736206,2783.525941
0,13,4,1011,1011,0,1,4217,4.171117705,2201213,2177.263106
0,14,3,1022,1021,1,0.999021526,3291,3.22331048,1938666,1898.791381
0,15,3,1011,1011,0,1,3236,3.200791296,2072286,2049.738872
0,16,4,931,930,1,0.998925886,3968,4.266666667,2708639,2912.515054
0,17,4,1020,1020,0,1,4470,4.382352941,2925534,2868.170588
0,18,5,1035,1034,1,0.999033816,5660,5.473887814,2906255,2810.691489
0,19,6,1041,1039,2,0.99807877,6812,6.556304139,3700969,3562.049086
0,20,6,980,979,1,0.998979592,6042,6.171603677,3094576,3160.956078
0,21,5,965,964,1,0.998963731,5515,5.720954357,2906903,3015.459544
0,22,6,997,995,2,0.997993982,6752,6.785929648,3821336,3840.538693
0,23,7,1009,1007,2,0.998017839,7165,7.115193644,3725324,3699.428004
0,24,7,1009,1008,1,0.99900892,7684,7.623015873,4232376,4198.785714
0,25,7,990,987,3,0.996969697,7528,7.627152989,4966314,5031.726444
0,26,5,997,995,2,0.997993982,5769,5.79798995,3524412,3542.122613
0,27,3,1028,1027,1,0.999027237,3395,3.305744888,1965296,1913.628043
1,2,2,1040,1040,0,1,2080,2,1211730,1165.125
1,3,3,941,940,1,0.998937301,2832,3.012765957,1593341,1695.043617
1,4,2,945,944,1,0.998941799,1968,2.084745763,1278450,1354.290254
1,5,1,1046,1045,1,0.999043977,1137,1.088038278,1143765,1094.511962
1,6,2,997,996,1,0.998996991,2367,2.376506024,1753997,1761.041165
1,7,3,976,969,7,0.992827869,3675,3.792569659,2521832,2602.509804
1,8,4,962,956,6,0.993762994,4509,4.716527197,3142961,3287.616109
1,9,5,982,975,7,0.99287169,5416,5.554871795,3776201,3873.026667
1,10,3,996,996,0,1,3876,3.891566265,2423981,2433.715863
1,11,3,1007,1006,1,0.999006951,3168,3.149105368,1892497,1881.209742
1,12,4,957,953,4,0.995820272,4184,4.390346275,2444446,2565.001049
1,13,5,985,984,1,0.998984772,4939,5.019308943,2536595,2577.840447
1,14,4,1057,1056,1,0.999053926,4295,4.067234848,2446416,2316.681818
1,15,4,1003,1002,1,0.999002991,4059,4.050898204,2474596,2469.656687
1,16,5,993,989,4,0.995971803,5063,5.119312437,3299973,3336.676441
1,17,5,986,982,4,0.995943205,5197,5.292260692,3260999,3320.772912
1,18,6,992,988,4,0.995967742,5398,5.463562753,2998678,3035.09919
1,19,7,1043,1039,4,0.996164909,6806,6.550529355,3904665,3758.099134
1,20,5,989,986,3,0.996966633,5331,5.406693712,2890222,2931.259635
1,21,4,989,982,7,0.992922144,4888,4.977596741,2779272,2830.215886
1,22,5,973,970,3,0.996916752,5858,6.039175258,3544529,3654.153608
1,23,6,1035,1024,11,0.989371981,6662,6.505859375,3555954,3472.611328
1,24,6,1017,1012,5,0.995083579,7106,7.02173913,4035391,3987.540514
1,25,7,1013,1003,10,0.990128332,7625,7.60219342,5170025,5154.561316
1,26,4,993,989,4,0.995971803,5011,5.066734075,3304793,3341.550051
1,27,4,1016,1014,2,0.998031496,4133,4.075936884,2315857,2283.882643
2,3,1,947,946,1,0.998944034,1114,1.177589852,544744,575.8393235
2,4,2,962,962,0,1,1950,2.027027027,797128,828.6153846
2,5,1,979,979,0,1,1007,1.028600613,552166,564.0102145
2,6,2,1001,995,6,0.994005994,2476,2.488442211,1304434,1310.988945
2,7,3,1026,1015,11,0.989278752,3911,3.85320197,2154558,2122.717241
2,8,4,1015,1005,10,0.990147783,4837,4.812935323,2855806,2841.59801
2,9,5,1046,1027,19,0.981835564,5757,5.605647517,3485884,3394.239533
2,10,3,1029,1018,11,0.98931001,4153,4.07956778,2077275,2040.545187
2,11,3,951,947,4,0.995793901,2858,3.017951426,1254974,1325.210137
2,12,4,1005,1001,4,0.9960199,4373,4.368631369,2052092,2050.041958
2,13,3,986,985,1,0.998985801,3152,3.2,1472532,1494.956345
2,14,2,973,972,1,0.998972251,2183,2.245884774,1167733,1201.371399
2,15,2,958,954,4,0.995824635,2165,2.269392034,1315160,1378.574423
2,16,3,1034,1029,5,0.99516441,3426,3.329446064,2296843,2232.111759
