src,dst,generated,provisioned,blocked,provision_ratio,total_hops,average_hops,total_distance,average_distance
0,1,989.0,989.0,0.0,1.0,1017.0,1.0283114256825077,481399.0,486.75328614762384
0,2,1043.0,1042.0,1.0,0.9990412272291467,1106.0,1.0614203454894433,763108.0,732.3493282149713
0,3,1017.0,1016.0,1.0,0.9990167158308751,2134.0,2.1003937007874014,1272905.0,1252.859251968504
0,4,1018.0,1018.0,0.0,1.0,3054.0,3.0,1678355.0,1648.6787819253439
0,5,1022.0,1022.0,0.0,1.0,2050.0,2.0058708414872797,1424883.0,1394.2103718199608
0,6,981.0,981.0,0.0,1.0,3117.0,3.1773700305810397,1977564.0,2015.8654434250764
0,7,969.0,966.0,3.0,0.9969040247678018,4431.0,4.586956521739131,2758604.0,2855.6977225672877
0,8,994.0,990.0,4.0,0.9959758551307847,5444.0,5.498989898989899,3501275.0,3536.6414141414143
0,9,1027.0,1019.0,8.0,0.9922103213242454,6428.0,6.308145240431796,4178868.0,4100.949950932287
0,10,999.0,999.0,0.0,1.0,4663.0,4.667667667667668,2651412.0,2654.066066066066
0,11,968.0,967.0,1.0,0.9989669421487604,3870.0,4.002068252326784,2071074.0,2141.751809720786
0,12,1032.0,1032.0,0.0,1.0,5337.0,5.171511627906977,2885525.0,2796.0513565891474
0,13,1038.0,1038.0,0.0,1.0,4278.0,4.121387283236994,2274397.0,2191.1339113680156
0,14,967.0,967.0,0.0,1.0,3044.0,3.1478800413650467,1802473.0,1863.9844881075492
0,15,1013.0,1009.0,4.0,0.9960513326752222,3258.0,3.2289395441030724,2103326.0,2084.5649157581765
0,16,1052.0,1048.0,4.0,0.9961977186311787,4592.0,4.3816793893129775,3133437.0,2989.9208015267177
0,17,1023.0,1022.0,1.0,0.9990224828934506,4330.0,4.236790606653621,2797163.0,2736.950097847358
0,18,978.0,977.0,1.0,0.9989775051124744,5313.0,5.438075742067554,2749737.0,2814.4698055271238
0,19,969.0,968.0,1.0,0.9989680082559339,6342.0,6.551652892561983,3472573.0,3587.3688016528927
