src,dst,hop_count,generated,provisioned,blocked,provision_ratio,total_hops,average_hops,total_distance,average_distance
0,1,1,984,984,0,1,4920,5,454608,462
0,2,1,1021,1021,0,1,7147,7,704490,690
0,3,2,1037,1037,0,1,13506,13.024108,1250904,1206.271938
0,4,3,991,990,1,0.998990918,16066,16.22828283,1498518,1513.654545
0,5,2,979,979,0,1,12727,13,1204170,1230
0,6,3,1002,1002,0,1,19684,19.64471058,1847654,1843.966068
0,7,4,1043,1043,0,1,31764,30.45445829,2954187,2832.394056
0,8,5,977,977,0,1,35292,36.12282497,3266386,3343.281474
0,9,6,988,986,2,0.997975709,40982,41.56389452,3777188,3830.819473
0,10,4,1029,1027,2,0.998056365,26195,25.50632911,2460116,2395.439143
0,11,4,1012,1012,0,1,21673,21.41600791,2032352,2008.252964
0,12,5,956,956,0,1,26469,27.68723849,2464275,2577.693515
0,13,4,930,930,0,1,20643,22.19677419,1897723,2040.562366
0,14,3,1026,1025,1,0.999025341,19500,19.02439024,1845306,1800.298537
0,15,3,1006,1006,0,1,21149,21.02286282,1964943,1953.223658
0,16,4,1016,1016,0,1,30501,30.02066929,2831597,2787.004921
0,17,4,996,996,0,1,26892,27,2583624,2594
0,18,5,969,969,0,1,26586,27.43653251,2416603,2493.914345
0,19,6,1024,1024,0,1,36508,35.65234375,3315562,3237.853516
0,20,6,980,980,0,1,31548,32.19183673,2909427,2968.803061
0,21,5,1023,1021,2,0.998044966,30829,30.19490695,2845207,2786.686582
0,22,6,975,974,1,0.998974359,36171,37.13655031,3357621,3447.249487
0,23,7,1020,1019,1,0.999019608,36969,36.27968597,3441426,3377.258096
0,24,7,993,990,3,0.996978852,40541,40.95050505,3768696,3806.763636
0,25,7,1004,1002,2,0.998007968,50497,50.39620758,4706658,4697.263473
0,26,5,1011,1010,1,0.99901088,34530,34.18811881,3264322,3232.00198
0,27,3,934,934,0,1,17746,19,1684936,1804
1,2,2,996,996,0,1,11957,12.00502008,1147847,1152.456827
1,3,3,1020,1020,0,1,18360,18,1699373,1666.051961
1,4,2,1034,1034,0,1,14508,14.03094778,1374016,1328.83559
1,5,1,963,962,1,0.998961578,10582,11,1026454,1067
1,6,2,965,963,2,0.997927461,17542,18.21599169,1670975,1735.176532
1,7,3,951,947,4,0.995793901,27905,29.46673706,2616811,2763.263992
1,8,4,970,965,5,0.994845361,34195,35.43523316,3188662,3304.312953
1,9,5,980,976,4,0.995918367,39229,40.19364754,3638108,3727.569672
1,10,3,1000,999,1,0.999,24974,24.998999,2365606,2367.973974
1,11,3,998,997,1,0.998997996,19285,19.34302909,1827171,1832.669007
1,12,4,991,989,2,0.997981837,25642,25.92719919,2408666,2435.456016
1,13,5,1041,1041,0,1,28116,27.00864553,2585876,2484.03074
1,14,4,1006,1006,0,1,24144,24,2273560,2260
1,15,4,986,986,0,1,25664,26.02839757,2381963,2415.783976
1,16,5,946,946,0,1,33122,35.01268499,3072909,3248.318182
1,17,5,980,977,3,0.996938776,31264,32,2985712,3056
1,18,6,1008,1006,2,0.998015873,31380,31.19284294,2891566,2874.32008
1,19,7,1038,1031,7,0.993256262,40599,39.37827352,3727124,3615.057226
1,20,5,965,960,5,0.994818653,29550,30.78125,2740933,2855.138542
1,21,4,1004,1004,0,1,29796,29.67729084,2767345,2756.319721
1,22,5,1003,1002,1,0.999002991,36603,36.52994012,3417787,3410.96507
1,23,6,991,987,4,0.995963673,34594,35.04964539,3237581,3280.223911
1,24,6,1037,1030,7,0.993249759,41145,39.94660194,3843165,3731.228155
1,25,7,1019,1014,5,0.995093229,53273,52.53747535,4975495,4906.799803
1,26,4,1019,1012,7,0.99313052,34106,33.70158103,3243779,3205.315217
1,27,4,980,980,0,1,23330,23.80612245,2201838,2246.773469
2,3,1,999,999,0,1,5994,6,513486,514
2,4,2,983,983,0,1,9114,9.271617497,814253,828.3346897
2,5,1,994,993,1,0.998993964,5958,6,536220,540
2,6,2,998,995,3,0.996993988,13838,13.90753769,1268454,1274.828141
2,7,3,1004,999,5,0.99501992,25813,25.83883884,2365764,2368.132132
2,8,4,934,928,6,0.993576017,29228,31.49568966,2671990,2879.299569
2,9,5,984,977,7,0.992886179,35296,36.12691914,3216288,3292.004094
2,10,3,1017,1012,5,0.995083579,21419,21.16501976,1976038,1952.606719
2,11,3,1029,1027,2,0.998056365,14955,14.56183057,1368600,1332.619279
2,12,4,978,972,6,0.993865031,20990,21.59465021,1913148,1968.259259
2,13,3,1030,1030,0,1,15776,15.31650485,1402671,1361.816505
2,14,2,982,982,0,1,11822,12.03869654,1091772,1111.784114
2,15,2,983,983,0,1,13762,14,1239563,1261
2,16,3,1031,1031,0,1,23713,23,2159945,2095
2,17,3,1029,1028,1,0.999028183,20567,20.00680934,1957990,1904.659533
2,18,4,1003,997,6,0.994017946,21541,21.60581745,1911078,1916.828485
2,19,5,1082,1075,7,0.993530499,31935,29.70697674,2846826,2648.210233
2,20,5,995,990,5,0.994974874,26051,26.31414141,2354721,2378.506061
2,21,4,967,959,8,0.991726991,24409,25.45255474,2209589,2304.055266
2,22,5,974,963,11,0.988706366,31373,32.57840083,2872385,2982.746625
2,23,6,986,978,8,0.99188641,29925,30.59815951,2740383,2802.027607
2,24,6,983,974,9,0.990844354,34468,35.38809035,3160678,3245.049281
2,25,6,1027,1013,14,0.986368062,44916,44.33958539,4147398,4094.173741
2,26,4,1007,995,12,0.988083416,29388,29.53567839,2745132,2758.926633
2,27,2,1042,1041,1,0.999040307,12492,12,1159674,1114
3,4,1,1042,1042,0,1,4168,4,409506,393
3,5,2,917,917,0,1,6489,7.076335878,603512,658.1374046
3,6,3,1000,995,5,0.995,14027,14.09748744,1328371,1335.046231
3,7,4,1022,1003,19,0.981409002,26117,26.03888335,2435325,2428.040877
3,8,5,985,974,11,0.988832487,30805,31.62731006,2857966,2934.256674
3,9,6,1008,992,16,0.984126984,35938,36.22782258,3321828,3348.616935
3,10,4,1009,995,14,0.986124876,20588,20.69145729,1942956,1952.719598
3,11,2,989,984,5,0.994944388,9029,9.175813008,870216,884.3658537
3,12,3,1019,1007,12,0.988223749,17980,17.8550149,1679484,1667.809335
3,13,2,939,939,0,1,8784,9.354632588,799515,851.4536741
3,14,1,981,981,0,1,5886,6,582714,594
3,15,1,943,943,0,1,7544,8,704421,747
3,16,2,1031,1031,0,1,17532,17.00484966,1630580,1581.551891
3,17,2,1070,1069,1,0.999065421,14977,14.01028999,1486861,1390.889616
3,18,3,1021,1003,18,0.982370225,16866,16.81555334,1522845,1518.29013
3,19,4,951,934,17,0.98212408,23858,25.54389722,2159989,2312.622056
3,20,4,996,976,20,0.979919679,21367,21.89241803,1961661,2009.898566
3,21,5,1001,986,15,0.985014985,25101,25.45740365,2314147,2347.005071
3,22,6,1035,1018,17,0.983574879,31986,31.42043222,2973312,2920.738703
3,23,5,973,959,14,0.985611511,25247,26.32638165,2348231,2448.624609
3,24,6,986,972,14,0.985801217,30975,31.86728395,2875986,2958.833333
3,25,5,948,931,17,0.982067511,36489,39.19334049,3408183,3660.776584
3,26,5,1037,1023,14,0.986499518,29570,28.90518084,2804101,2741.056696
3,27,1,968,968,0,1,5835,6.027892562,582957,602.2283058
4,5,1,992,992,0,1,3106,3.131048387,268808,270.9758065
4,6,2,991,984,7,0.992936428,10340,10.50813008,965811,981.5152439
4,7,3,985,961,24,0.975634518,22682,23.6024974,2096134,2181.200832
4,8,4,1045,1011,34,0.967464115,29084,28.76755687,2677924,2648.787339
4,9,5,995,978,17,0.982914573,32184,32.90797546,2954240,3020.695297
4,10,3,933,903,30,0.967845659,17024,18.85271318,1589180,1759.889258
4,11,1,1004,1000,4,0.996015936,5658,5.658,535674,535.674
4,12,2,921,894,27,0.970684039,14833,16.5917226,1373845,1536.739374
4,13,3,996,995,1,0.998995984,12525,12.5879397,1143955,1149.703518
4,14,2,988,988,0,1,9880,10,975156,987
4,15,2,1012,1012,0,1,12144,12,1153680,1140
4,16,3,940,940,0,1,19751,21.01170213,1856480,1974.978723
4,17,3,949,949,0,1,17082,18,1692067,1783
4,18,4,1005,979,26,0.974129353,19614,20.03472932,1792768,1831.223698
4,19,5,1021,995,26,0.97453477,26966,27.10150754,2455669,2468.009045
4,20,3,1029,1000,29,0.971817298,20707,20.707,1887678,1887.678
4,21,4,1028,991,37,0.964007782,22482,22.68617558,2052777,2071.419778
4,22,5,1026,990,36,0.964912281,29245,29.54040404,2694758,2721.977778
4,23,4,985,950,35,0.964467005,24150,25.42105263,2234307,2351.902105
4,24,5,976,945,31,0.968237705,28017,29.64761905,2591221,2742.032804
4,25,6,1023,975,48,0.953079179,40306,41.33948718,3753105,3849.338462
4,26,4,959,918,41,0.957247132,24166,26.32461874,2277911,2481.384532
4,27,2,1016,1016,0,1,9494,9.344488189,922546,908.0177165
5,6,1,972,956,16,0.983539095,8343,8.726987448,775495,811.1872385
5,7,2,1048,992,56,0.946564885,22574,22.75604839,2080527,2097.305444
5,8,3,985,939,46,0.953299492,26277,27.98402556,2415398,2572.308839
5,9,4,1059,1009,50,0.952785647,32076,31.78989098,2937773,2911.56888
5,10,2,953,913,40,0.958027282,17386,19.04271632,1613838,1767.62103
5,11,2,970,963,7,0.992783505,8741,9.076843198,804343,835.2471443
5,12,3,1053,1001,52,0.950617284,19570,19.55044955,1796635,1794.84016
5,13,4,945,944,1,0.998941799,15117,16.01377119,1369994,1451.264831
5,14,3,1011,1010,1,0.99901088,13294,13.16237624,1271938,1259.344554
5,15,3,1024,1024,0,1,15533,15.16894531,1446873,1412.961914
5,16,4,1050,1050,0,1,25380,24.17142857,2359122,2246.782857
5,17,4,993,993,0,1,21079,21.22759315,2046142,2060.565962
5,18,5,1019,964,55,0.946025515,21981,22.80186722,1996631,2071.193983
5,19,6,982,917,65,0.933808554,27947,30.47655398,2535146,2764.608506
5,20,4,922,868,54,0.94143167,20602,23.73502304,1867807,2151.851382
5,21,3,1018,954,64,0.937131631,23117,24.23165618,2100248,2201.51782
5,22,4,969,915,54,0.944272446,27111,29.6295082,2490392,2721.739891
5,23,5,970,919,51,0.94742268,26419,28.74755169,2429502,2643.636561
5,24,5,992,918,74,0.925403226,30249,32.95098039,2783960,3032.636166
5,25,6,1006,946,60,0.940357853,42135,44.54016913,3905601,4128.542283
5,26,3,969,905,64,0.933952528,24755,27.35359116,2320162,2563.714917
5,27,3,1024,1023,1,0.999023438,12927,12.63636364,1225015,1197.473118
6,7,1,998,949,49,0.950901804,14111,14.86933614,1296051,1365.701791
6,8,2,993,944,49,0.950654582,19895,21.07521186,1822001,1930.085805
6,9,3,997,947,50,0.949849549,22411,23.66525871,2040144,2154.323126
6,10,1,961,911,50,0.947970864,11420,12.53567508,1061693,1165.414929
