src,dst,hop_count,generated,provisioned,blocked,provision_ratio,total_hops,average_hops,total_distance,average_distance
0,1,1,1033,1033,0,1,1098,1.062923524,541506,524.2071636
0,2,1,959,959,0,1,1048,1.092805005,736726,768.2231491
0,3,2,969,969,0,1,1794,1.851393189,1589066,1639.902993
0,4,3,1008,1008,0,1,2146,2.128968254,1721429,1707.766865
0,5,2,960,959,1,0.998958333,1785,1.861313869,1249638,1303.063608
0,6,3,1003,1002,1,0.999002991,2947,2.941117764,2440301,2435.43014
0,7,4,991,991,0,1,4017,4.053481332,3546458,3578.665994
0,8,5,984,982,2,0.99796748,4633,4.717922607,4141710,4217.627291
0,9,6,1020,1017,3,0.997058824,5009,4.925270403,4708315,4629.611603
0,10,4,1055,1051,4,0.996208531,4786,4.553758325,3803801,3619.220742
0,11,4,1005,1004,1,0.999004975,3004,2.992031873,2361718,2352.308765
0,12,5,1022,1017,5,0.995107632,4104,4.03539823,3295710,3240.619469
0,13,4,979,978,1,0.99897855,3318,3.392638037,2433221,2487.956033
0,14,3,999,997,2,0.997997998,3074,3.083249749,2597460,2605.275827
0,15,3,942,935,7,0.992569002,2819,3.014973262,2628630,2811.368984
0,16,4,974,972,2,0.997946612,3413,3.511316872,3209247,3301.694444
0,17,4,996,990,6,0.993975904,3715,3.752525253,3389158,3423.391919
0,18,5,997,993,4,0.995987964,4324,4.35448137,3459108,3483.492447
0,19,6,1046,1042,4,0.996175908,5798,5.564299424,5120111,4913.734165
0,20,6,1012,1006,6,0.994071146,4981,4.951292247,3826577,3803.754473
0,21,5,979,970,9,0.990806946,4803,4.951546392,3763398,3879.791753
0,22,6,1007,1002,5,0.995034757,5246,5.235528942,4521374,4512.349301
0,23,7,1000,993,7,0.993,5335,5.372608258,4444362,4475.691843
0,24,7,964,952,12,0.987551867,5435,5.709033613,4814001,5056.723739
0,25,7,1077,1066,11,0.989786444,6366,5.971857411,5988982,5618.181989
0,26,5,1009,991,18,0.982160555,4859,4.903128153,4280081,4318.951564
0,27,3,939,924,15,0.984025559,2787,3.016233766,2145458,2321.924242
1,2,2,1065,1055,10,0.990610329,1672,1.584834123,1280842,1214.068246
1,3,3,971,962,9,0.990731205,2412,2.507276507,1945013,2021.843035
1,4,2,971,957,14,0.985581874,1788,1.868338558,1549737,1619.369906
1,5,1,1031,1020,11,0.989330747,1648,1.615686275,1350271,1323.795098
1,6,2,953,943,10,0.989506821,2198,2.330858961,2055092,2179.312831
1,7,3,950,933,17,0.982105263,3343,3.58306538,3125352,3349.787781
1,8,4,973,940,33,0.966084275,3946,4.19787234,3792756,4034.846809
1,9,5,1012,987,25,0.975296443,4489,4.548125633,4471668,4530.56535
1,10,3,1031,1011,20,0.980601358,4078,4.033630069,3473035,3435.24728
1,11,3,999,971,28,0.971971972,2696,2.776519053,2260571,2328.085479
1,12,4,937,919,18,0.980789755,3503,3.811751904,2947295,3207.067465
1,13,5,996,975,21,0.978915663,3647,3.740512821,2712044,2781.58359
1,14,4,986,962,24,0.975659229,3234,3.361746362,2757645,2866.574844
1,15,4,993,972,21,0.978851964,3226,3.318930041,2937858,3022.487654
1,16,5,987,965,22,0.977710233,3855,3.994818653,3533539,3661.698446
1,17,5,1012,984,28,0.972332016,4040,4.105691057,3665133,3724.728659
1,18,6,1065,1031,34,0.968075117,4604,4.46556741,3692076,3581.063046
1,19,7,939,914,25,0.973375932,4893,5.353391685,4399015,4812.926696
1,20,5,1007,975,32,0.968222443,4571,4.688205128,3676195,3770.45641
1,21,4,1030,993,37,0.96407767,4635,4.667673716,3838116,3865.172205
1,22,5,1038,1000,38,0.963391137,5014,5.014,4549247,4549.247
1,23,6,995,963,32,0.967839196,5130,5.327102804,4414443,4584.05296
1,24,6,976,937,39,0.960040984,5257,5.610458911,4867803,5195.093917
1,25,7,1020,977,43,0.957843137,5746,5.881269191,5645292,5778.190379
1,26,4,972,921,51,0.947530864,4468,4.851248643,4097357,4448.813246
1,27,4,1017,967,50,0.950835792,3199,3.308169597,2504297,2589.759049
2,3,1,974,960,14,0.985626283,1924,2.004166667,1257988,1310.404167
2,4,2,1044,1034,10,0.990421456,1792,1.733075435,1074905,1039.559961
2,5,1,1017,1013,4,0.996066863,1071,1.057255676,604332,596.5765054
