src,dst,hop_count,generated,provisioned,blocked,provision_ratio,total_hops,average_hops,total_distance,average_distance
0,1,1,4961,4714,247,0.950211651,5507,1.11050615,6083500,1226.759427
0,2,1,5001,4754,247,0.950609878,5801,1.160432086,8226400,1645.609122
0,3,2,5014,4760,254,0.949341843,12461,2.48971029,14142200,2825.614386
0,4,3,5037,4774,263,0.947786381,15673,3.122733612,19847900,3954.5527
0,5,2,5031,4766,265,0.947326575,13172,2.628617043,19992800,3989.782479
0,6,2,4909,4614,295,0.939906295,13108,2.697674419,18879700,3885.511422
0,7,1,4974,4657,317,0.936268597,9163,1.869237046,16700100,3406.793146
0,8,2,4879,4543,336,0.931133429,15607,3.259607352,22073900,4610.254804
0,9,3,5036,4668,368,0.926926132,17331,3.52757989,24491600,4985.060045
0,10,3,5019,4607,412,0.917911935,18686,3.851195383,24973600,5147.073372
0,11,3,4988,4508,480,0.903769046,18412,3.873763939,24345300,5122.091311
0,12,4,4985,4445,540,0.891675025,18869,4.023240938,25580300,5454.221748
0,13,3,4972,4357,615,0.876307321,18489,4.017601043,24046900,5225.31508
1,2,1,5046,4788,258,0.948870392,5246,1.042320683,3399500,675.4420823
1,3,1,5024,4401,623,0.875995223,7979,1.717391304,8758700,1885.213087
1,4,2,4992,4280,712,0.857371795,12272,2.712044199,13066800,2887.690608
1,5,2,5046,4269,777,0.846016647,11969,2.651528578,14793900,3277.337173
1,6,3,5054,4150,904,0.821131777,14969,3.405915813,18019200,4099.931741
1,7,4,5091,4129,962,0.811039089,12690,2.901234568,18440600,4215.957933
1,8,5,5041,3890,1151,0.771672287,16794,4.061426844,20445100,4944.401451
1,9,3,4989,3684,1305,0.738424534,14378,3.659455332,17416900,4432.909137
1,10,2,5018,3564,1454,0.710243125,13268,3.483328958,17454200,4582.357574
1,11,3,4931,3349,1582,0.679172582,14537,4.044796884,17943300,4992.570952
1,12,4,5035,3255,1780,0.646474677,14433,4.123714286,17860900,5103.114286
1,13,3,5079,3110,1969,0.612325261,14136,4.213412817,17152300,5112.459016
2,3,2,4939,3115,1824,0.630694473,9515,2.831845238,10211900,3039.255952
2,4,3,4912,2739,2173,0.557614007,8993,3.013739946,11225900,3762.030831
2,5,1,5031,2636,2395,0.523951501,7347,2.550156196,10204400,3541.964596
2,6,4,5022,2568,2454,0.51135006,9951,3.537504444,13377700,4755.670103
2,7,5,5046,2548,2498,0.504954419,8076,2.891514501,12642200,4526.387397
2,8,3,5078,2160,2918,0.425364317,9600,3.991683992,12138600,5047.234927
2,9,2,5011,2003,3008,0.399720615,8271,3.679270463,10432300,4640.702847
2,10,3,4886,1711,3175,0.3501842,8385,4.286809816,10287700,5259.560327
2,11,3,4964,1600,3364,0.322320709,7892,4.277506775,9770200,5295.501355
2,12,2,5019,1445,3574,0.287905957,7491,4.432544379,9099500,5384.319527
2,13,3,4982,1314,3668,0.263749498,7023,4.504810776,8427100,5405.452213
3,4,1,4965,4285,680,0.863041289,6396,1.41192053,5206200,1149.271523
3,5,2,4985,4054,931,0.813239719,12337,2.869737148,13234800,3078.576413
3,6,2,4977,3917,1060,0.787020293,11005,2.644161461,9426100,2264.800577
3,7,3,4988,3527,1461,0.707097033,13328,3.53340403,12433400,3296.235419
3,8,4,4994,3693,1301,0.739487385,12944,3.286947689,14659000,3722.447943
3,9,3,5047,3511,1536,0.695660789,14147,3.766506922,15218100,4051.677316
3,10,1,5028,3331,1697,0.662490056,7811,2.184284116,10879100,3042.253915
3,11,2,5017,3195,1822,0.636834762,10147,2.949709302,12199300,3546.30814
3,12,3,4893,2900,1993,0.592683425,11157,3.547535771,11771300,3742.861685
3,13,2,5015,2719,2296,0.54217348,9251,3.121120108,10654700,3594.703104
4,5,1,4935,3898,1037,0.789868288,7083,1.709630702,7269500,1754.646392
4,6,1,5080,4432,648,0.872440945,5467,1.168911696,4517600,965.9183237
4,7,2,4973,3706,1267,0.745224211,9193,2.326752721,7503200,1899.063528
4,8,3,4982,3499,1483,0.702328382,12528,3.346153846,11916600,3182.852564
4,9,2,5129,3420,1709,0.666796647,9940,2.712141883,10394700,2836.207367
4,10,2,4962,3012,1950,0.607013301,12175,3.738102548,12203900,3746.975745
4,11,4,5067,2849,2218,0.56226564,10822,3.497737557,10490000,3390.433096
4,12,5,5000,2577,2423,0.5154,9641,3.416371368,9616100,3407.547838
4,13,4,4972,2352,2620,0.473049075,9403,3.620716211,8974800,3455.833654
5,6,2,4980,2483,2497,0.498594378,8358,3.063782991,7935200,2908.797654
5,7,3,5048,2561,2487,0.507329635,9443,3.365288667,9224900,3287.562366
5,8,2,5022,3918,1104,0.780167264,10020,2.406918088,9994900,2400.888782
5,9,1,5059,4313,746,0.852540028,5403,1.185388328,6203900,1361.10136
5,10,3,5055,3704,1351,0.732739862,13080,3.312230945,12815600,3245.277285
5,11,2,5057,3501,1556,0.692307692,9222,2.461825948,9447000,2521.890016
5,12,1,5043,3299,1744,0.654174103,7605,2.145880361,8672100,2446.980813
5,13,2,5003,3112,1891,0.622026784,8891,2.648495681,8814200,2625.618111
6,7,1,5005,3498,1507,0.698901099,4242,1.133315522,3195600,853.7536735
6,8,2,5045,1759,3286,0.348662042,5559,2.773952096,4793500,2391.966068
6,9,3,5051,1504,3547,0.297762819,6017,3.440251572,5786500,3308.461978
6,10,4,5051,1364,3687,0.270045536,6473,4.022995649,5589000,3473.586078
6,11,3,5078,1150,3928,0.226467113,5082,3.643010753,4400200,3154.265233
6,12,4,5043,927,4116,0.183819155,4954,4.226962457,4062400,3466.211604
6,13,3,4963,748,4215,0.150715293,3773,3.79959718,3345700,3369.284995
7,8,1,4962,1436,3526,0.289399436,2803,1.667459845,2532500,1506.543724
7,9,2,4950,1029,3921,0.207878788,3602,2.827315542,3587400,2815.855573
7,10,3,4939,1070,3869,0.216643045,4571,3.476045627,3729000,2835.741445
7,11,2,4995,807,4188,0.161561562,2894,2.75095057,2370000,2252.851711
7,12,3,4866,680,4186,0.139745171,3357,3.629189189,2481500,2682.702703
7,13,2,5050,521,4529,0.103168317,2216,2.892950392,1888800,2465.796345
8,9,1,5042,3408,1634,0.675922253,4165,1.140158774,3830500,1048.5902
8,10,2,5046,4727,319,0.936781609,9998,2.010860821,6489400,1305.189059
8,11,1,4940,4662,278,0.943724696,5022,1.023435908,2508000,511.1065824
8,12,2,5083,4791,292,0.94255361,10084,2.002382844,4047400,803.6934075
8,13,1,4955,4665,290,0.941473259,5148,1.048472505,2554400,520.2443992
9,10,3,5030,3144,1886,0.625049702,10600,3.127766303,8305700,2450.781942
9,11,2,5015,2946,2069,0.587437687,6971,2.184581636,5573500,1746.63115
9,12,3,4887,2638,2249,0.539799468,7886,2.735345127,6511400,2258.550121
9,13,2,4960,2532,2428,0.510483871,6234,2.244868563,5047000,1817.42888
10,11,1,4944,4620,324,0.934466019,5257,1.08057554,4022000,826.72148
10,12,2,5063,4715,348,0.931266048,9933,2.002620968,5469300,1102.681452
10,13,1,4945,4581,364,0.926390293,5072,1.050973891,3954200,819.3535019
11,12,1,5079,4816,263,0.948218153,5149,1.017387868,1576900,311.5787394
11,13,2,4968,4715,253,0.949074074,9920,2,3498600,705.3629032
12,13,1,5060,4793,267,0.947233202,5110,1.014291385,1565000,310.6391425
