src,dst,hop_count,generated,provisioned,blocked,provision_ratio,total_hops,average_hops,total_distance,average_distance
0,1,1,4961,4703,258,0.947994356,6132,1.236789028,6922100,1396.14764
0,2,1,5001,4739,262,0.947610478,5984,1.198237885,8628200,1727.713256
0,3,2,5014,4743,271,0.945951336,9926,1.985994398,15169400,3035.094038
0,4,3,5037,4750,287,0.94302164,11356,2.268931069,19131400,3822.457542
0,5,2,5031,4734,297,0.940966011,9349,1.87392263,20242700,4057.466426
0,6,2,4909,4576,333,0.93216541,9213,1.90705858,18580400,3846.077417
0,7,1,4974,4626,348,0.930036188,7481,1.53267773,16247100,3328.641672
0,8,2,4879,4487,392,0.919655667,10235,2.158371995,21540800,4542.555884
0,9,3,5036,4593,443,0.91203336,12604,2.599834983,24821400,5119.925743
0,10,3,5019,4529,490,0.90237099,13072,2.732441472,25235400,5274.958194
0,11,3,4988,4397,591,0.881515638,14376,3.090283749,25432600,5467.024936
0,12,4,4985,4301,684,0.862788365,14209,3.118744513,25646800,5629.236172
0,13,3,4972,4188,784,0.842316975,14773,3.325005627,25046600,5637.317128
1,2,1,5046,4763,283,0.943915973,5338,1.063770426,3687800,734.9143085
1,3,1,5024,4375,649,0.870820064,6616,1.428941685,8088500,1746.976242
1,4,2,4992,4242,750,0.849759615,8279,1.841005115,12008500,2670.335779
1,5,2,5046,4206,840,0.83353151,8156,1.828289621,14541800,3259.762385
1,6,3,5054,4067,987,0.804709141,10090,2.33456733,16334400,3779.361407
1,7,4,5091,4042,1049,0.793950108,8774,2.04188969,16834100,3917.640214
1,8,5,5041,3807,1234,0.7552073,12366,3.044313146,20267600,4989.561792
1,9,3,4989,3564,1425,0.714371618,10985,2.876407437,18237200,4775.386227
1,10,2,5018,3396,1622,0.676763651,10948,2.998630512,18370200,5031.552999
1,11,3,4931,3165,1766,0.641857635,11249,3.289181287,18178100,5315.233918
1,12,4,5035,3029,2006,0.601588878,11230,3.419610231,17838200,5431.851401
1,13,3,5079,2846,2233,0.560346525,10882,3.509190584,17141800,5527.829732
2,3,2,4939,3061,1878,0.619761085,6304,1.901085645,10014300,3019.993969
2,4,3,4912,2680,2232,0.545602606,6211,2.116183986,10555200,3596.320273
2,5,1,5031,2562,2469,0.509242695,5609,1.991125311,10334600,3668.654597
2,6,4,5022,2442,2580,0.486260454,6605,2.449017427,11902000,4413.051539
2,7,5,5046,2385,2661,0.472651605,5669,2.147348485,11653900,4414.356061
2,8,3,5078,2000,3078,0.393855849,6940,3.077605322,11993700,5318.713969
2,9,2,5011,1769,3242,0.353023349,5917,2.923418972,10622600,5248.320158
2,10,3,4886,1463,3423,0.299426934,6100,3.550640279,10244100,5962.805588
2,11,3,4964,1309,3655,0.26369863,5513,3.524936061,9154300,5853.132992
2,12,2,5019,1163,3856,0.231719466,5278,3.722143865,8567800,6042.172073
2,13,3,4982,961,4021,0.19289442,4436,3.648026316,7297600,6001.315789
3,4,1,4965,4192,773,0.844310171,6120,1.37620868,5912300,1329.503036
3,5,2,4985,3931,1054,0.788565697,8566,2.046344959,13039300,3114.9785
3,6,2,4977,3700,1277,0.743419731,7371,1.863716814,9402200,2377.294564
3,7,3,4988,3312,1676,0.663993585,9344,2.619568265,12208400,3422.596019
3,8,4,4994,3495,1499,0.699839808,9403,2.507466667,14162300,3776.613333
3,9,3,5047,3236,1811,0.641172974,9824,2.814093383,14552600,4168.604984
3,10,1,5028,3077,1951,0.611972951,5697,1.709783914,10394000,3119.447779
3,11,2,5017,2795,2222,0.55710584,6462,2.118688525,11086800,3635.016393
3,12,3,4893,2420,2473,0.4945841,6886,2.574205607,10197700,3812.224299
3,13,2,5015,2155,2860,0.429710867,5833,2.42033195,9082300,3768.589212
4,5,1,4935,3878,1057,0.785815603,5820,1.408178079,7566100,1830.655698
4,6,1,5080,4237,843,0.834055118,5272,1.17364203,4908800,1092.787177
4,7,2,4973,3504,1469,0.704604866,6496,1.728119181,7716400,2052.779995
4,8,3,4982,3429,1553,0.6882778,8555,2.322204126,11937500,3240.363735
4,9,2,5129,3230,1899,0.629752388,6977,2.002008608,10505900,3014.605452
4,10,2,4962,2893,2069,0.583031036,8075,2.565120712,12005200,3813.595934
4,11,4,5067,2696,2371,0.532070259,7565,2.563537784,10335100,3502.23653
4,12,5,5000,2302,2698,0.4604,6670,2.608525616,9014300,3525.342198
4,13,4,4972,2089,2883,0.420152856,6506,2.77559727,8469800,3613.395904
5,6,2,4980,2499,2481,0.501807229,5340,1.938997821,7765300,2819.644154
5,7,3,5048,2598,2450,0.514659271,6843,2.398527865,9162700,3211.601823
5,8,2,5022,3700,1322,0.736758264,7527,1.903160556,9863000,2493.80531
5,9,1,5059,3834,1225,0.757857284,5576,1.363658596,7125100,1742.50428
5,10,3,5055,3332,1723,0.659149357,8862,2.470588235,11750700,3275.913019
5,11,2,5057,3056,2001,0.604310856,6410,1.935971006,8739000,2639.383872
5,12,1,5043,2801,2242,0.555423359,5411,1.770615183,7742800,2533.638743
5,13,2,5003,2549,2454,0.509494303,5772,2.058487874,7772300,2771.861626
6,7,1,5005,3227,1778,0.644755245,4020,1.154508903,3582100,1028.747846
6,8,2,5045,1781,3264,0.353022795,3775,1.854125737,4564700,2241.994106
6,9,3,5051,1467,3584,0.290437537,3759,2.182926829,5064600,2941.114983
6,10,4,5051,1265,3786,0.250445456,4265,2.805921053,5092100,3350.065789
6,11,3,5078,1022,4056,0.201260339,3357,2.628817541,3841700,3008.379013
6,12,4,5043,762,4281,0.151100535,3041,2.990167158,3301400,3246.214356
6,13,3,4963,575,4388,0.115857344,2359,2.842168675,2669300,3216.024096
7,8,1,4962,1796,3166,0.361950826,2870,1.399317406,2586500,1261.09215
7,9,2,4950,1319,3631,0.266464646,2790,1.772554003,3519100,2235.768742
7,10,3,4939,1238,3701,0.250658028,3540,2.37106497,3567900,2389.752177
7,11,2,4995,1005,3990,0.201201201,2573,2.042063492,2453500,1947.222222
7,12,3,4866,740,4126,0.152075627,2522,2.534673367,2255100,2266.432161
7,13,2,5050,561,4489,0.111089109,1847,2.263480392,1781400,2183.088235
8,9,1,5042,3511,1531,0.696350655,4655,1.23605948,4408700,1170.658524
8,10,2,5046,4539,507,0.899524376,7964,1.661243221,6472100,1350.041719
8,11,1,4940,4438,502,0.898380567,7113,1.515661624,3830300,816.1730237
8,12,2,5083,4490,593,0.883336612,7484,1.577239199,4098700,863.7934668
8,13,1,4955,4320,635,0.87184662,5494,1.200874317,3136400,685.5519126
9,10,3,5030,3048,1982,0.605964215,7566,2.290644868,7925700,2399.545867
9,11,2,5015,2829,2186,0.564107677,5427,1.759727626,5597200,1814.915694
9,12,3,4887,2345,2542,0.479844485,4895,1.882692308,5013500,1928.269231
9,13,2,4960,2248,2712,0.453225806,4697,1.876548142,4729900,1889.692369
10,11,1,4944,4536,408,0.917475728,5524,1.152995199,4147100,865.6021707
