average_reward,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys
10284.4,-27581.6,249027.6,2330182.8,12642.6,12642.6,473.9109168,0,0,0,0
10288.4,-27577.6,249027.6,2331127.8,12760.6,12760.6,471.7354744,1,48.2,48.2,0
10278.2,-27587.8,249027.6,2327375.6,12527.8,12527.8,472.1058978,1,153.4,153.4,0
10275.6,-27590.4,249027.6,2323429.4,12652,12652,467.2378412,1,608.8,608.8,0
10255.2,-27610.8,249027.6,2318865,12343,12343,461.0459448,1,1358.4,1358.4,0
10240,-27626,249027.6,2317892.2,12484.4,12484.4,452.0931159,1,2321,2321,0
10228,-27638,249027.6,2303978.4,12000.6,12000.6,443.3921197,1,3418.2,3418.2,0
10218.2,-27647.8,249027.6,2309569.6,12385.6,12385.6,431.2406275,1,4639,4639,0
10173.2,-27692.8,249027.6,2299301,12306,12306,420.5840359,0.999810066,5983,5984,0
10116.2,-27749.8,249027.6,2299207.8,12426.8,12426.8,407.6700735,0.999649537,7539.2,7541.6,0
10069.4,-27796.6,249027.6,2287054.6,12380.8,12380.8,392.6816981,0.999562058,9243.8,9247.6,0.8
10026.2,-27839.8,249027.6,2276435.8,12329.4,12329.4,376.4058379,0.999181764,11045,11054,4.6
10009.4,-27856.6,249027.6,2261286.6,12017.8,12017.8,360.0046425,0.997515004,12852,12883.4,18.2
9965.6,-27900.4,249027.6,2234180.2,11602.6,11602.6,343.9097253,0.996255603,14714.2,14769.8,40.6
9943.6,-27922.4,249027.6,2212835.2,11207.8,11207.8,327.767858,0.995393702,16460.6,16537,56
9940.6,-27925.4,249027.6,2188174.6,11310.2,11310.2,306.0986847,0.995067105,18485.8,18578.4,78.8
9929.6,-27936.4,249027.6,2160678.8,11144.4,11144.4,282.0403197,0.992378555,20685,20842.8,130.4
9901.4,-27964.6,249027.6,2104537,10032.8,10032.8,254.6361069,0.987352418,23161.4,23458.2,251.6
9833.4,-28032.6,249027.6,2008192.2,8360.8,8360.8,214.1666005,0.978011886,26518.4,27114.4,536.6
9780.4,-28085.6,249027.6,1894009.8,5613.6,5613.6,162.1129969,0.964351793,30078.8,31191,1020
9710.8,-28155.2,249027.6,1914770.2,5758.2,5758.2,108.8500999,0.925912984,31941.4,34497,2482
