average_reward,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys
8752.4,-13924.6,249027.6,2451377.2,22110,22110,535.1853374,0,0,0,0
8747.8,-13929.2,249027.6,2455444.4,22324.8,22324.8,533.0663139,0.986616042,48.2,48.8,0.6
8748.8,-13928.2,249027.6,2458227.6,22331.4,22331.4,531.4097285,0.993445347,142.8,143.6,0.8
8744.8,-13932.2,249027.6,2455342,22265.4,22265.4,526.3733947,0.996541218,588.2,590.2,2
8745.4,-13931.6,249027.6,2450839.8,22307.4,22307.4,518.3035151,0.997409731,1355.2,1358.8,3.6
8732.8,-13944.2,249027.6,2444372,22116.2,22116.2,508.697132,0.997820666,2282.6,2287.4,4.8
8725.8,-13951.2,249027.6,2440344.8,22054.8,22054.8,497.295456,0.998253542,3368.2,3374,5.8
8703.8,-13973.2,249027.6,2436220.2,22237.2,22237.2,485.2899622,0.998130575,4516.2,4524.8,8.4
8690.4,-13986.6,249027.6,2423270.6,22274.8,22274.8,471.1996103,0.998324108,5872.4,5882,9
8700.2,-13976.8,249027.6,2425851.2,22477.4,22477.4,452.9301275,0.998355768,7389.8,7401.8,11.2
8658.6,-14018.4,249027.6,2404812,22301.6,22301.6,436.7658155,0.996315653,9046.2,9080,30.4
8648.4,-14028.6,249027.6,2384559.8,21847.8,21847.8,417.5405667,0.995785541,10794.4,10840.2,38.8
8649.2,-14027.8,249027.6,2370067.2,21958.8,21958.8,396.5014905,0.99301276,12590.8,12680,81.8
8629,-14048,249027.6,2341228.4,21286.6,21286.6,376.813834,0.991737065,14441.8,14563,113.8
8617,-14060,249027.6,2307019.4,20349.8,20349.8,358.223331,0.989149562,16238.8,16418.4,167.4
8622.2,-14054.8,249027.6,2278989,19703.6,19703.6,335.5681297,0.986610631,18146.6,18394.4,231.2
8616.8,-14060.2,249027.6,2252805.8,18618.6,18618.6,310.8513862,0.983663733,20178,20512.8,314.6
8616.6,-14060.4,249027.6,2182695.6,17020.2,17020.2,277.2698099,0.976679074,22803.4,23347.2,502.8
8609.8,-14067.2,249027.6,2078862.6,13920.6,13920.6,235.2629139,0.961512266,25904.6,26941.6,937.8
8606.8,-14070.2,249027.6,1930690.4,8436.2,8436.2,181.3474673,0.947096212,29408,31051.2,1537
8472.2,-14204.8,249027.6,1922264.2,6508.2,6508.2,127.1776548,0.90399136,31185,34497,3232
