average_reward,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys
9787.4,-28078.6,249027.6,1911708,5489.8,5489.8,113.0172899,0.934269557,32229.6,34497,2213.6
9768.2,-28097.8,249027.6,1909223.4,5063,5063,110.1911248,0.780807806,28544.2,36559.4,1786.8
9683.8,-28182.2,249027.6,1906394.8,4839.2,4839.2,105.1734777,0.610879287,23811,38981.2,1563
9503,-28363,249027.6,1903673.8,4741,4741,99.34449019,0.494804917,20175,40776.4,1464.8
9332,-28534,249027.6,1900954.2,4626.8,4626.8,94.55348782,0.421484875,17700.8,41999.4,1350.6
9204,-28662,249027.6,1899487,4617.6,4617.6,90.61380372,0.372157234,15944,42845.8,1341.4
9122.4,-28743.6,249027.6,1898602.2,4583,4583,87.41043787,0.339424027,14738.2,43424.6,1306.8
9130.2,-28735.8,249027.6,1897837.4,4557.4,4557.4,85.12723217,0.315826646,13848.8,43850.6,1281.2
9048.2,-28817.8,249027.6,1897448.8,4555.2,4555.2,83.3799294,0.299878069,13237.2,44144,1279
9019.6,-28846.4,249027.6,1896972.2,4538.4,4538.4,82.52531713,0.287290307,12747.6,44373.4,1262.2
8937.6,-28928.4,249027.6,1896922,4537.4,4537.4,81.3259119,0.277895844,12378,44543,1261.2
8946.4,-28919.6,249027.6,1896794.2,4527.4,4527.4,80.63197615,0.27166075,12131,44656.2,1251.2
8955.8,-28910.2,249027.6,1896718.8,4520.2,4520.2,80.12439502,0.267951276,11983.8,44725.8,1244
8937.2,-28928.8,249027.6,1896635.6,4542,4542,79.98073612,0.264947379,11861.4,44771,1265.8
8964.8,-28901.2,249027.6,1896699.2,4531.8,4531.8,79.5394175,0.263596647,11808.6,44799.6,1255.6
8949.4,-28916.6,249027.6,1896612.2,4514.4,4514.4,79.78808245,0.263447013,11804.2,44808.4,1238.2
8942.8,-28923.2,249027.6,1896660.6,4521.6,4521.6,79.74832636,0.262745711,11775.4,44818.2,1245.4
8950.4,-28915.6,249027.6,1896680,4524.8,4524.8,79.59827229,0.262420713,11762.6,44824.8,1248.6
8949.6,-28916.4,249027.6,1896681,4522.6,4522.6,79.61346221,0.262342059,11759.6,44826.8,1246.4
8951,-28915,249027.6,1896689,4523.4,4523.4,79.5903714,0.262278096,11757,44827.8,1247.2
8951,-28915,249027.6,1896689,4523.4,4523.4,79.5903714,0.262278096,11757,44827.8,1247.2
