average_reward,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys
3715.0,-46.0,223031.8,3817942.2,105178.2,105178.2,541.4689466737661,0.0,0.0,0.0,0.0
3715.6,-45.4,223031.8,3817957.0,105163.0,105163.0,539.4256736243518,1.0,13.2,13.2,0.0
3715.6,-45.4,223031.8,3816844.4,105122.6,105122.6,539.6083561640344,1.0,14.4,14.4,0.0
3712.0,-49.0,223031.8,3812957.4,104959.0,104959.0,536.4053133620597,1.0,103.2,103.2,0.0
3707.8,-53.2,223031.8,3807998.8,104755.2,104755.2,531.5229356166789,1.0,231.6,231.6,0.0
3710.2,-50.8,223031.8,3786579.8,103994.2,103994.2,525.2717445114139,0.999581589958159,445.2,445.4,0.2
3710.8,-50.2,223031.8,3763150.8,103358.2,103358.2,516.2496910792889,0.9868190465540824,735.0,745.0,10.0
3714.2,-46.8,223031.8,3742723.2,102774.4,102774.4,503.9105490456105,0.9525627409793784,996.4,1045.8,49.4
3713.8,-47.2,223031.8,3709816.6,102115.2,102115.2,490.09096255016186,0.9138899385212789,1265.2,1389.6,124.4
3715.2,-45.8,223031.8,3676331.8,100977.8,100977.8,475.6971770936686,0.890104317196745,1593.8,1797.8,204.0
3716.6,-44.4,223031.8,3620550.4,99654.2,99654.2,460.85305044374473,0.8555279461693537,1944.6,2275.2,330.6
3716.2,-44.8,223031.8,3551212.2,96668.4,96668.4,453.89825601535154,0.842002408246066,2327.2,2769.6,442.4
3716.2,-44.8,223031.8,3484955.6,95137.6,95137.6,437.2183723419034,0.8132298639517282,2663.2,3283.0,619.8
3715.6,-45.4,223031.8,3388927.4,91250.8,91250.8,428.3029657050011,0.7789078241599274,3225.8,4151.8,901.4
3710.0,-51.0,223031.8,3299775.4,87308.8,87308.8,413.14377999765134,0.7320987860076527,3536.8,4843.6,1282.2
3706.2,-54.8,223031.8,3184550.2,82667.0,82667.0,396.70266753724337,0.7204410703071779,4185.2,5820.6,1604.8
3708.2,-52.8,223031.8,3111704.2,77708.0,77708.0,389.9384494165529,0.7145325927469729,4700.0,6586.4,1839.6
3704.4,-56.6,223031.8,2958644.4,71546.4,71546.4,360.87931576576227,0.7270624286103049,5901.4,8119.4,2155.4
3697.0,-64.0,223031.8,2798059.2,63116.6,63116.6,339.0197337257964,0.7250069535834209,7055.8,9774.6,2630.8
3680.0,-81.0,223031.8,2355004.2,47161.4,47161.4,208.5995930624994,0.711885878318144,9712.4,13658.0,3800.8
3616.2,-144.8,223031.8,2050782.8,12983.2,12983.2,74.16935296451676,0.4880876157759417,8537.8,17493.8,8814.8
