average_reward,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys
6049.8,-3087.2,223031.8,2461896.8,18693.2,18693.2,617.8024352,0.998757764,615.6,616.4,0
6042.4,-3094.6,223031.8,2460258.2,18656.6,18656.6,617.4794163,0.693628426,483.6,692.8,0
6040.2,-3096.8,223031.8,2459464.2,18661,18661,617.429219,0.603328199,430.6,714,0
6038,-3099,223031.8,2463542.8,18741,18741,617.6589065,0.576802618,403.8,696.6,0
6038.8,-3098.2,223031.8,2463017.2,18709.6,18709.6,617.6455324,0.577248512,405.4,698.8,0
6037.4,-3099.6,223031.8,2462008.2,18709,18709,617.7134242,0.57904957,406.2,698.4,0
6037.4,-3099.6,223031.8,2462008.2,18709,18709,617.7134242,0.57904957,406.2,698.4,0
6037.4,-3099.6,223031.8,2462008.2,18709,18709,617.7134242,0.57904957,406.2,698.4,0
6037.4,-3099.6,223031.8,2462008.2,18709,18709,617.7134242,0.57904957,406.2,698.4,0
6037.4,-3099.6,223031.8,2462008.2,18709,18709,617.7134242,0.57904957,406.2,698.4,0
6037.4,-3099.6,223031.8,2462008.2,18709,18709,617.7134242,0.57904957,406.2,698.4,0
6037.4,-3099.6,223031.8,2462008.2,18709,18709,617.7134242,0.57904957,406.2,698.4,0
6037.4,-3099.6,223031.8,2462008.2,18709,18709,617.7134242,0.57904957,406.2,698.4,0
6037.4,-3099.6,223031.8,2462008.2,18709,18709,617.7134242,0.57904957,406.2,698.4,0
6037.4,-3099.6,223031.8,2462008.2,18709,18709,617.7134242,0.57904957,406.2,698.4,0
6037.4,-3099.6,223031.8,2462008.2,18709,18709,617.7134242,0.57904957,406.2,698.4,0
6037.4,-3099.6,223031.8,2462008.2,18709,18709,617.7134242,0.57904957,406.2,698.4,0
6037.4,-3099.6,223031.8,2462008.2,18709,18709,617.7134242,0.57904957,406.2,698.4,0
6037.4,-3099.6,223031.8,2462008.2,18709,18709,617.7134242,0.57904957,406.2,698.4,0
6037.4,-3099.6,223031.8,2462008.2,18709,18709,617.7134242,0.57904957,406.2,698.4,0
6037.4,-3099.6,223031.8,2462008.2,18709,18709,617.7134242,0.57904957,406.2,698.4,0
