average_reward,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys
1853.4,-18.6,223031.8,4107718.6,153595,153595,530.351897,0,0,0,0
1853.6,-18.4,223031.8,4107033.4,153575.2,153575.2,527.7503833,0.704970862,9.4,13.2,3.8
1853.6,-18.4,223031.8,4107033.4,153575.2,153575.2,527.7503833,0.704970862,9.4,13.2,3.8
1853.6,-18.4,223031.8,4102541,153432.6,153432.6,522.4561603,0.832330749,70.6,84.6,14
1853.6,-18.4,223031.8,4095711.6,153255.6,153255.6,514.883515,0.856541995,167.2,197.4,30.2
1853.6,-18.4,223031.8,4080555.8,152814,152814,508.81959,0.868659885,325,375.8,50.8
1853.6,-18.4,223031.8,4050932.2,151945.2,151945.2,485.5541653,0.775966853,530.8,686.6,155.8
1853.6,-18.4,223031.8,4006705.2,150407.4,150407.4,468.0626455,0.64995189,646.8,1001.4,354.6
1853.6,-18.4,223031.8,3951106.6,147877.8,147877.8,458.0612925,0.541889762,718.8,1343.8,625
1853.6,-18.4,223031.8,3885539.4,144765.8,144765.8,448.6062393,0.475586255,826.4,1754.8,928.4
1853.6,-18.4,223031.8,3821461.2,141720.6,141720.6,440.1912743,0.433999909,951.8,2199.8,1248
1853.6,-18.4,223031.8,3761604,139033.2,139033.2,429.7253241,0.427629554,1111.4,2612,1500.6
1853.6,-18.4,223031.8,3673898.4,135233.8,135233.8,412.2702234,0.432342095,1396.6,3243,1846.4
1853.6,-18.4,223031.8,3599208.6,131703.2,131703.2,400.4471044,0.41032366,1621,3979.8,2334.2
1853.6,-18.4,223031.8,3508809.6,126524.6,126524.6,388.7158251,0.376980873,1717.4,4581.4,2839.4
1853.6,-18.4,223031.8,3413114.8,121666.2,121666.2,369.8973382,0.372943071,1990.6,5333.6,3313.4
1853.6,-18.4,223031.8,3319084.6,116953.6,116953.6,350.9232415,0.37883433,2336,6163.4,3789
1853.6,-18.4,223031.8,3238662.8,112369.2,112369.2,335.3218983,0.367387759,2517.2,6839.6,4276
1853.6,-18.4,223031.8,3112344.6,106460.6,106460.6,303.344424,0.376572685,3003.4,7948.4,4875.6
1853.6,-18.4,223031.8,2858020.6,94328.6,94328.6,230.7704668,0.420957029,4525.2,10753.4,6095.8
1843.4,-28.6,223031.8,2063881,16924.6,16924.6,79.30429555,0.262404702,4590,17493.8,12756.2
