average_reward,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_hops,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys,average_proactive_used_keys_for_n_hop,average_n_hop_proactive_gen_keys,average_n_hop_proactive_used_keys,average_n_hop_proactive_expired_keys
9317,-17,1023440,19925541,787876,787876,487.4457996,23.02793782,0,0,0,0,0,0,0,0
9317,-17,1023440,19925157,787861,787861,487.0174879,23.00661315,0.909090909,10,11,1,0,0,0,0
9317,-17,1023440,19925157,787861,787861,487.0174879,23.00661315,0.909090909,10,11,1,0,0,0,0
9317,-17,1023440,19920228,787686,787686,486.0578354,22.9574285,0.87628866,85,97,12,0,0,0,0
9317,-17,1023440,19914504,787517,787517,484.9660632,22.90248721,0.809352518,225,278,53,0,0,0,0
9317,-17,1023440,19898985,787230,787230,482.7440093,22.78202212,0.819417476,422,515,93,0,0,0,0
9317,-17,1023440,19862825,785996,785996,480.1237835,22.64301085,0.717805151,641,893,252,0,0,0,0
9317,-17,1023440,19843409,785587,785587,477.4690622,22.5105491,0.679824561,775,1140,365,0,0,0,0
9317,-17,1023440,19791216,783424,783424,474.0112772,22.34505665,0.554038005,933,1684,751,0,0,0,0
9317,-17,1023440,19705158,780320,780320,470.5879188,22.16012212,0.50892503,1283,2521,1238,0,0,0,0
9317,-17,1023440,19642465,777522,777522,468.780407,22.0624816,0.457405758,1541,3369,1828,0,0,0,0
9317,-17,1023440,19578356,774325,774325,467.2889865,21.98876853,0.3998614,1731,4329,2598,0,0,0,0
9317,-17,1023440,19493934,770719,770719,462.7673823,21.75330662,0.40789996,2055,5038,2983,0,0,0,0
9317,-17,1023440,19404801,765937,765937,460.3864131,21.63720216,0.38247494,2213,5786,3573,0,0,0,0
9317,-17,1023440,19318687,761863,761863,457.4180037,21.47164576,0.385089341,2500,6492,3992,0,0,0,0
9317,-17,1023440,19221552,756510,756510,455.6375744,21.37788695,0.342229394,2757,8056,5299,0,0,0,0
9317,-17,1023440,19097167,749759,749759,451.6381802,21.18618992,0.315391175,2959,9382,6423,0,0,0,0
9317,-17,1023440,18967178,742977,742977,447.1038009,20.95396666,0.312351761,3424,10962,7538,0,0,0,0
9317,-17,1023440,18897660,739914,739914,443.2532018,20.72999641,0.326631876,3818,11689,7871,0,0,0,0
9317,-17,1023440,18773883,732885,732885,436.9401095,20.38469381,0.357938398,4660,13019,8359,0,0,0,0
