average_reward,average_session_blocking,average_total_generation_keys,average_remaining_keys,average_used_keys,average_expired_keys,average_delay,average_proactive_keys,average_proactive_used_keys,average_proactive_gen_keys,average_proactive_expired_keys
6020,-3117,223031.8,2451766.6,14688.8,14688.8,573.3397322,0.997225919,2767.8,2775.4,7.6
6005.8,-3131.2,223031.8,2446303.8,14431.2,14431.2,573.7008821,0.782723441,2324,2955.8,7
5998,-3139,223031.8,2436391.6,14199.2,14199.2,574.4010528,0.596825429,1926,3200.4,6.8
5997.4,-3139.6,223031.8,2430328.4,14119.2,14119.2,572.7792891,0.508195208,1740.2,3388.2,5
5997,-3140,223031.8,2436652.2,14267.8,14267.8,573.2210034,0.46416339,1590.4,3385,5.2
5995.8,-3141.2,223031.8,2429099.4,14119.2,14119.2,573.0477951,0.446488602,1550.6,3431.6,4.4
5994.4,-3142.6,223031.8,2430539,14093.4,14093.4,572.41225,0.437496949,1520.6,3437,4.8
5993.6,-3143.4,223031.8,2426527.8,14010,14010,573.0975001,0.440025555,1529.2,3434.6,5
5993.6,-3143.4,223031.8,2426527.8,14010,14010,573.0975001,0.440025555,1529.2,3434.6,5
5993.6,-3143.4,223031.8,2426527.8,14010,14010,573.0975001,0.440025555,1529.2,3434.6,5
5993.6,-3143.4,223031.8,2426527.8,14010,14010,573.0975001,0.440025555,1529.2,3434.6,5
5993.6,-3143.4,223031.8,2426527.8,14010,14010,573.0975001,0.440025555,1529.2,3434.6,5
5993.6,-3143.4,223031.8,2426527.8,14010,14010,573.0975001,0.440025555,1529.2,3434.6,5
5993.6,-3143.4,223031.8,2426527.8,14010,14010,573.0975001,0.440025555,1529.2,3434.6,5
5993.6,-3143.4,223031.8,2426527.8,14010,14010,573.0975001,0.440025555,1529.2,3434.6,5
5993.6,-3143.4,223031.8,2426527.8,14010,14010,573.0975001,0.440025555,1529.2,3434.6,5
5993.6,-3143.4,223031.8,2426527.8,14010,14010,573.0975001,0.440025555,1529.2,3434.6,5
5993.6,-3143.4,223031.8,2426527.8,14010,14010,573.0975001,0.440025555,1529.2,3434.6,5
5993.6,-3143.4,223031.8,2426527.8,14010,14010,573.0975001,0.440025555,1529.2,3434.6,5
5993.6,-3143.4,223031.8,2426527.8,14010,14010,573.0975001,0.440025555,1529.2,3434.6,5
5993.6,-3143.4,223031.8,2426527.8,14010,14010,573.0975001,0.440025555,1529.2,3434.6,5
